gamma1,lambda1,delta,epsilon,NRow,NCol,FValue,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals
2.917292212132508,0.0536489688886692,0.23183548029987866,-0.20223351370353895,-0.2955423253097415,0.10784970872758336,-0.816815055522948,-1.0647878394173403e-09,1.47583858726021e-09,-2.280420390331024e-10,2.312584387644448e-09,-1.5199542819735885e-10,2.3886309984801914e-09,-7.583859626347842e-10,1.782240464042766e-09,-3.7558542894602317e-10,2.165040997731527e-09,-4.027885427878035e-09,1.487259001200485e-09,-4.067652538079651e-09,1.527026111402101e-09,-1.972558979319776e-09,5.680674473577743e-10,-2.236726069556624e-09,3.0390035712092644e-10,-2.3669622608613225e-09,1.7366416581622775e-10,-2.121319641420478e-09,4.1930678525707235e-10,-2.3735321832128555e-09,1.6709424346469475e-10,-2.0322052642483073e-09,5.084211624292429e-10,-2.2618521614470682e-09,2.78774265230482e-10,-2.3272146133154767e-09,2.1341181336207352e-10,-2.1558817522571583e-09,3.8474467442039196e-10
-0.26918000793969366,-0.5104879848180407,-0.21093903290739802,-1.367823018359838,3.551153768846248,0.1839839342919986,-0.18246612585926034,9.826061039050835e-09,1.0570705105780326e-08,-2.280420390331024e-10,5.166020276963876e-10,-1.5199542819735885e-10,5.926486385321311e-10,5.095874321724329e-10,1.2542314989019229e-09,-4.797405709551904e-10,2.649034957742995e-10,-1.2102830358703168e-10,6.236157631424582e-10,3.976563397195996e-09,4.721207463925486e-09,4.445798881100159e-09,5.190442947829649e-09,-8.998818020908425e-10,1.5523773536135252e-10,-1.030117993395541e-09,2.85473926666051e-10,4.810658647400755e-09,5.555302714130245e-09,4.666989209660996e-11,7.913139588260999e-10,3.4604747831081857e-09,4.205118849837676e-09,2.7451125203993263e-09,3.489756587128816e-09,2.751056925291469e-09,3.495700992020959e-09,1.0910286929620557e-09,1.8356727596915456e-09
-0.5567288955587838,1.450272924618088,0.2190893046434231,1.4443840468756457,0.445240565815737,-0.1536368091690367,0.25362861102958767,1.0325326458840834e-09,5.424958956477434e-10,-2.280420390331024e-10,7.180787892694424e-10,-1.5199542819735885e-10,6.420321784336989e-10,1.1670806273398754e-09,6.770438771035354e-10,-1.785977792508842e-11,5.078965281614285e-10,6.642395455626831e-10,1.7420279532634304e-10,1.1081518415687392e-09,6.181150913323991e-10,1.4802767812797104e-09,9.902400310433703e-10,1.3290678818553633e-09,8.390311316190233e-10,1.1988316905506646e-09,7.087949403143246e-10,1.6081051025312581e-09,1.118068352294918e-09,1.5126683074148946e-09,1.0226315571785545e-09,1.3802666189348696e-09,8.902298686985295e-10,1.9309846090419114e-09,1.4409478588055713e-09,1.87774460384869e-09,1.3877078536123497e-09,1.919433638200082e-09,1.4293968879637417e-09
-0.40132964545664573,-0.7685434516399499,1.2344149152216948,-0.5768866779976944,0.9513713323700332,0.656825822892271,-0.3762735969432821,2.4655009793223232e-09,3.758856934755693e-09,-2.280420390331024e-10,1.0653139164002678e-09,-1.5199542819735885e-10,1.1413605272360113e-09,8.331240547336583e-10,2.1264800101670286e-09,-1.1266101449206602e-09,1.6674581051270993e-10,-5.489676306588623e-10,7.443883247745078e-10,5.765781394718628e-10,1.869934094905233e-09,7.234573175279151e-10,2.016813272961285e-09,-8.667349775009143e-10,4.266209779324558e-10,-9.96971168805613e-10,2.963847866277571e-10,8.458761471263762e-10,2.1392321025597465e-09,-5.032838961448385e-10,7.900720592885316e-10,2.154775251346541e-09,3.4481312067799108e-09,2.330737061922131e-10,1.5264296616255832e-09,1.89683269018255e-10,1.4830392244516252e-09,-1.9826917903658677e-11,1.2735290375297114e-09
-0.41973473433554476,-0.3119857364799539,-1.137133570703603,0.25108091997621307,-0.4992500870910152,0.19801555750298666,-0.5357079244950609,-1.6415296444955559e-09,1.0322021492845405e-10,-2.280420390331024e-10,1.5167078203909076e-09,-1.5199542819735885e-10,1.5927544312266511e-09,8.754033844326258e-10,2.620153243856636e-09,-4.989364805126218e-10,1.2458133789113882e-09,5.04566794758799e-11,1.7952065388998898e-09,-5.489429491595083e-10,1.1958069102645017e-09,-6.109250769114264e-10,1.1338247825125836e-09,-1.090204663217275e-10,1.6357293931022824e-09,-2.392566576264262e-10,1.5054932017975837e-09,-6.282958132081705e-10,1.1164540462158394e-09,-3.477752531671846e-10,1.3969746062568254e-09,-5.620261731417574e-10,1.1827236862822526e-09,-7.204833489643473e-10,1.0242665104596626e-09,-7.972152419586135e-10,9.475346174653964e-10,-7.130586256139363e-10,1.0316912338100736e-09
-0.5205703993656191,0.47633266747275016,1.452695924718461,-0.38195564680843525,0.1951067124662578,-0.6112085391818017,1.105410869118559,3.2434828987094897e-10,2.577272745461551e-09,-2.280420390331024e-10,3.1296630743656024e-09,-1.5199542819735885e-10,3.053616463529859e-09,1.0940907992348947e-09,1.8075302360976054e-09,6.081195128018831e-10,2.293501522530617e-09,1.1935715016799347e-09,1.7080495336525654e-09,1.306197201732631e-09,1.595423833599869e-09,1.6971303106623982e-09,1.2044907246701018e-09,1.7042532202959463e-09,1.1973678150365538e-09,1.5740170289912474e-09,1.3276040063412527e-09,1.7721336070206186e-09,1.1294874283118815e-09,1.7878685840438608e-09,1.1137524512886392e-09,3.0450004178750333e-09,1.4337938254253328e-10,1.958297331536776e-09,9.433237037957242e-10,1.8981994319404243e-09,1.0034216033920757e-09,1.883099820839254e-09,1.018521214493246e-09
-0.5825440759729782,-0.8658187141973471,0.9283564056315199,0.0107425482652282,-1.0515360979944548,0.9850246019691735,-0.21184520460768613,-3.2051737003853205e-09,2.3773509527811398e-09,-2.280420390331024e-10,5.997807085710786e-10,-1.5199542819735885e-10,6.758273194068222e-10,1.2174291963858146e-09,2.0452519439899955e-09,-1.5756012548790616e-09,7.477785072748806e-10,-7.335928547814936e-10,9.422989282268738e-11,-1.9092791219331513e-09,1.0814563743289704e-09,-2.4068658344764072e-09,1.5790430868722263e-09,-7.358701414463521e-11,7.542357334595457e-10,-2.0382320544933385e-10,6.239995421548471e-10,-2.3953058561128358e-09,1.5674831085086548e-09,-6.238323797557803e-10,2.039903678484007e-10,-2.5983610885825282e-09,1.7705383409783473e-09,-1.5780341303690117e-09,7.502113827648307e-10,-1.6719386341793146e-09,8.441158865751336e-10,-2.0010881598193858e-09,1.1732654122152048e-09
-0.5015083926179995,0.9122906066093404,-1.0832210649540324,0.6669054731720317,-0.3552302107514495,0.07112825594675284,-0.3659674352849981,-1.233777466959932e-09,3.039946148766809e-11,-2.280420390331024e-10,1.0361348894144977e-09,-1.5199542819735885e-10,1.1121815002502412e-09,1.0544523079522844e-09,2.3186292363998844e-09,-3.25348783064148e-10,9.38828145383452e-10,3.125531329631437e-10,1.5767300614107438e-09,-1.411483679780959e-10,1.1230285604695042e-09,-1.2006216238939676e-10,1.1441147660582032e-09,6.062448721467638e-10,1.870421800594364e-09,4.760086808420651e-10,1.7401856092896651e-09,-1.0003418976278974e-10,1.1641427386848102e-09,4.402380426145516e-10,1.7044149710621515e-09,-2.0271941838100292e-10,1.0614575100665972e-09,1.3244529794220577e-10,1.3966222263898057e-09,5.835952779187229e-11,1.3225364562394723e-09,2.3217720932171986e-11,1.287394649379772e-09
3.540730064055594,0.5823640387910043,0.08824671926005069,-1.141313824760124,0.6783978773556752,-0.8857867401671776,-0.14734670154659898,1.6926526508798356e-09,2.3378658466681374e-09,-2.280420390331024e-10,4.1717115675519965e-10,-1.5199542819735885e-10,4.932177675909432e-10,-5.519241177431873e-10,9.328907804511479e-11,9.837551918179763e-10,1.6289683876062784e-09,-3.5628835443093645e-09,2.9176703485210623e-09,-2.5134639839540355e-09,1.8682507881657332e-09,-1.1587509454997791e-09,5.135377497114771e-10,-6.797113200623641e-10,3.449812427406201e-11,-8.099475113670627e-10,1.647343155787607e-10,-3.5544828544233603e-10,2.89764910345966e-10,-4.0971097366519744e-10,2.355022221231046e-10,-3.1532478786127297e-10,3.2988840792702907e-10,-6.655243214524733e-10,2.0311125664171285e-11,-7.303417177011807e-10,8.512852191287866e-11,-7.834798634044151e-10,1.3826666761611307e-10
1.706571191522511,-0.4836698901832845,1.6508607210639386,0.6411628196719807,3.1476516391689984,0.3526850004024642,-0.9642058146070596,8.683657113996498e-09,1.1641579434078899e-08,-2.280420390331024e-10,2.7298802810492977e-09,-1.5199542819735885e-10,2.8059268918850413e-09,-1.4983787277913751e-09,1.459543592291025e-09,-7.105314323262964e-10,2.247390887756104e-09,-2.8146482980212395e-09,1.4327402206116057e-10,1.0304379236953033e-09,3.988360243777703e-09,5.094202915603941e-10,3.4673426116427943e-09,-3.0121453670847025e-09,5.422304700230241e-11,-3.142381558389401e-09,1.844592383070011e-10,2.86987239318696e-10,3.2449095594010962e-09,-2.128047795934882e-09,8.298745241475179e-10,7.177606548793716e-10,3.6756829749617714e-09,-2.5778389457697524e-09,3.800833743126477e-10,-2.6342233101449387e-09,3.236990099374614e-10,-4.5853508872982285e-09,1.6274285672158284e-09
