gamma1,lambda1,delta,epsilon,NRow,NCol,W1
0.0003365466216404,0.0975315013783369,45.9167704054113,76.8135101017254,0.000993139324767,0.0005114793682211,5.3618328907447e-06
0.0054711426064201,0.0116666523959052,63.9494424182271,94.3704610336656,0.0003858736787305,0.0015967190712703,1.0882028350699701e-09
0.0046159810395473,0.0869757859456932,82.0470489223466,56.2027587541889,0.0005676363461197,0.0011743931158146,3.64925525058987e-07
0.0001537464900746,0.0104274360158502,19.4561894162054,31.6814319169955,0.0012920397525093,0.0003924100399556,1.67120079006233e-06
0.000113753049743,0.0482879328041405,83.9297974713753,33.3968750845181,0.0010273027417756,0.0001568395582201,8.04351139801549e-06
0.001563371390943,0.0607766110855969,85.697769704088,78.3076745207867,0.0004620038996666,0.0002985702690368,3.97099100394953e-06
0.0378618542985568,0.0342087785681031,41.9055619960395,99.4008487457357,0.0005443573713651,0.0011456972385996,8.64573071974716e-11
0.0005249611740656,0.0767996871555192,48.706251635425,42.1035174932109,0.0011395024238847,0.0001965950885556,5.6443508348333e-06
0.0028495301552829,0.0792510270063388,61.5015296571416,77.7572056992709,0.0006817746674608,0.0009358400341255,4.00449658416454e-07
0.0002346420383917,0.0422607914426823,73.0742257694113,19.90436474014,0.0014254411861674,0.0008388743128497,7.67540021319038e-06
0.0089695608863656,0.0137362754935464,76.8222781288552,63.7340706652963,0.0006694868194464,0.0024695665771397,8.63038331334417e-09
0.0002912429026165,0.0165120727620514,78.2095735558707,48.7535680288543,0.0002854509315548,0.0015837812282988,3.44271032477531e-06
0.0016475596959862,0.0152104154347311,45.0215887212304,75.7646215589431,0.0009405910993174,0.0012939464818021,5.57969721958519e-08
0.0062546090989368,0.0110108250942721,48.6372236499854,33.5058553514129,0.0009820519732338,0.0016732497649108,3.1758523196517503e-09
0.0235331336863568,0.0127920944853889,96.0710191750593,18.5326913425207,0.0013452360388352,0.0008072666058468,2.49566230716151e-09
0.0377436833414689,0.0413469505894751,61.5674230543436,50.5867140362054,0.0007592129175834,0.0010441280549164,5.78963931382866e-10
0.0021908699278745,0.0870284022010653,86.4749848796806,67.6067059240967,0.0006133820011597,0.0012415163506581,8.91963095131642e-07
0.0001302696759491,0.0226180797466079,34.8710784668401,21.8834935631934,0.0001325647811922,0.0001092687486668,2.6002510120368e-06
0.0001402335799367,0.0257412178486163,66.0091253637205,50.7540186841646,0.0011683983465074,0.0009675958930164,5.14328886931505e-06
0.0002961384280196,0.0964604796195077,62.9525516152185,68.6979639053329,0.0006256426703169,0.0025814553440386,7.48840808688028e-06
0.016638791217886,0.0882224651866559,96.7121619226292,84.4298498402258,0.0001462128152872,0.0027082304234463,6.74746422476944e-10
0.0002896119923115,0.047494648560467,17.7312425470526,37.7269217578191,0.0013147764293928,0.0015682190195305,2.94415904536603e-06
0.0138619549322457,0.0973424476609982,55.0449002443556,46.2127221104549,0.0001972372357669,0.0006929516590733,1.07320379934861e-06
0.0002688715869531,0.0584563086221897,56.9430708848249,89.5808184441803,0.0013545949334621,0.0008792274711759,3.79723668806727e-06
0.0306733262485437,0.0217119717073589,18.1149401952067,73.0521559049628,0.0012282391728338,0.000319910041901,5.66626644324585e-10
0.0005609463187646,0.0459601947623011,91.4199831721113,31.7685065632828,0.0025569031114666,0.0004478775201298,1.10500024154385e-07
0.0001944266331449,0.0175454813282156,89.5950044658874,78.3848634147629,0.0011746238579414,0.001562085526103,3.99232270954963e-06
0.0002832836948523,0.0197472784851244,49.5090700125031,36.1833163474087,0.0004373812227459,0.0014077081875917,3.46549512476301e-06
0.0035245528959343,0.047882671322536,80.355035162545,34.9694847059943,0.000829779833714,0.0015950900335558,2.49737370304537e-07
0.0013147299337153,0.0337168373123706,23.3618520649068,10.5497022723939,0.0003282181056784,0.0003323607664992,3.40706602552143e-06
0.0005674773415343,0.0257984440337432,65.7834334534784,43.7240027031002,0.0011455830901247,0.0010786875326787,3.54924049102282e-06
0.0155401743875422,0.0400532921170901,33.4561311454979,49.3239502658789,0.0009140637704155,0.0004848907487439,1.86940825198113e-08
0.0028494581166813,0.0563015117097198,50.1090590295618,37.386862195751,0.001760606639571,0.000662486190817,9.73060454771196e-08
0.0022291578838703,0.0383295017870103,85.9599560327442,36.1774297548135,0.0005972546189333,0.0009039420414612,2.59670612060066e-06
0.0282196092457463,0.0356280878851808,27.6584426858127,31.82646779965,0.0005983530461015,0.0004277684774179,5.75789915078095e-08
0.0003601530199742,0.0383328066660743,37.3466460499887,94.3015249020101,0.0008017104702118,0.0011090808350906,2.51680520778204e-06
0.0093448146477306,0.0324952528004347,53.4965110960857,87.4171216744333,0.0007122183727993,0.0010396660245006,6.60068781288053e-09
0.0091234119949268,0.012094633900885,40.4030839483921,45.7505434394052,0.0004499289705499,0.0003342406863599,1.91463913391089e-07
0.0006923210639321,0.052428826226069,81.8637246569394,53.1477193922754,0.0013515343451648,0.0005232506762912,2.82753944952121e-06
0.0025260091915185,0.0991188172913815,98.8738817670418,60.8496483785374,0.0011394449217681,0.0016571410483752,1.01734595780156e-07
8.44370152347626e-05,0.0226221722543743,24.3142799250155,54.0657450591891,0.0002172569439071,0.0010275092033556,2.93123188687671e-06
7.25805676260264e-05,0.0935963289668169,31.3191804903449,34.2830469406434,0.0012669197277225,0.0008777290107733,8.5971929158549e-06
0.0019559721344394,0.0222048969136698,73.2012969401101,99.0766127855994,0.0005187822739621,0.0003865594639138,9.98597234056423e-07
0.0108760625004496,0.0770094216430207,43.7924496427793,26.5308126639512,0.0013030456163726,0.0003057557128652,8.03851195675396e-08
0.0316958247564596,0.0284901584753688,97.6334412407486,87.549105243162,0.0006064327401525,0.0005616807353174,1.36572118673862e-09
0.0001226559526041,0.0259076063156362,97.5075000119611,12.9369314895811,0.0010219723642976,0.0023552061809549,5.67230206161092e-06
0.0025435541449895,0.01650942958817,67.9328244479264,39.8762217627987,0.0022229649508683,0.0011239520012781,1.40917130616381e-08
0.0012797994745109,0.0133553288864113,87.4088989168745,77.3872296204661,0.000624921582288,0.0018767819796997,5.45541220385079e-08
5.42845463515061e-05,0.0203664152140176,46.1695058207277,67.9929812363479,0.0007695308610637,0.0008751131174415,3.73296705678462e-06
0.0005132606120871,0.0532236226890998,66.8737718179711,25.2314166386498,0.0006180628950252,0.0012813380827427,7.1089027821332e-06
0.0001532910958479,0.0606557633925142,98.6712975473347,95.6984590650191,0.0013988140310659,0.0008605631231921,9.52686552860662e-06
0.0120732342307736,0.0494069011073732,60.3529665388548,58.8943211853024,0.0020028536491178,0.0006946815001141,8.39147737727485e-07
0.0004291559424157,0.0102282716132993,94.0232724257988,32.6272128540238,0.0006303319485777,0.0009496655045223,2.44918263282494e-06
0.0019256147807106,0.069696880126666,74.8308885400673,62.071507886825,0.0002821609741872,0.0005536628703666,4.54868364968394e-06
0.0001570059795748,0.0836242041833612,53.5634665131108,92.3928939130035,0.0026991093754239,0.0011164561393782,8.67531756504335e-07
0.0031982751856785,0.0590138869886364,67.5127983413107,90.6036873529956,0.0005558107789668,0.0002768503453485,8.99845475981288e-07
0.0003075274293575,0.0110321423230772,89.8873179300644,53.4255955642035,0.0007222297864502,0.0002051605424133,2.3683104001902e-06
0.004583606216515,0.0238883490957164,27.8863075089029,49.8465979987362,0.0027752698265246,0.0002650872339662,4.8628115226345804e-09
0.0058426990073031,0.0506220378816174,45.5829646559689,38.0579457023477,0.0011405685815528,0.0018981143116529,1.97414996615559e-08
