gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals,Model_19_Y_pred,Model_19_Residuals,Model_20_Y_pred,Model_20_Residuals,Model_21_Y_pred,Model_21_Residuals
2.917292212132508,0.0536489688886692,0.23183548029987866,-0.20223351370353895,-0.470812038306053,1.245389080002379,-0.528194298050576,1.2555720586256013e-06,1.2555700759917382e-06,1.1398019814040008e-06,1.1397999987701377e-06,1.0631527330010226e-06,1.0631507503671595e-06,7.355811550748283e-07,7.355791724409652e-07,-1.5526568328093045e-06,1.5526588154431676e-06,1.224246964320746e-06,1.2242449816868828e-06,-8.027059005616779e-07,8.02707883195541e-07,-3.734495304581199e-07,3.73451513091983e-07,-2.97545823542629e-07,2.975478061764921e-07,8.462701486628786e-08,8.462503223242474e-08,1.1398019814040008e-06,1.1397999987701377e-06,-9.586155022501264e-07,9.586174848839895e-07,1.1494002344764416e-06,1.1493982518425785e-06,1.149567784085708e-06,1.149565801451845e-06,8.605264245834716e-08,8.605065982448404e-08,1.1492786512058029e-06,1.1492766685719397e-06,1.137725784450825e-06,1.137723801816962e-06,1.1415112245808012e-06,1.1415092419469381e-06,1.2074519862933089e-07,1.2074321599546777e-07,-8.132622921190322e-08,8.132821184576634e-08,1.628210434858502e-08,1.62801217147219e-08
-0.26918000793969366,-0.5104879848180407,-0.21093903290739802,-1.367823018359838,1.2063836343427812,0.8555288227871655,-0.3773210851115487,3.821075519190194e-08,2.873632537910301e-07,1.1398019814040008e-06,8.142279724210688e-07,1.0631527330010226e-06,7.375787240180906e-07,1.7020129941191967e-06,1.3764389851362647e-06,1.1612745194041997e-06,8.357005104212677e-07,1.1398019814048339e-06,8.142279724219018e-07,1.16012428280451e-06,8.345502738215781e-07,1.163369000558543e-06,8.37794991575611e-07,1.2883541073801584e-06,9.627800983972264e-07,1.160636666816514e-06,8.350626578335819e-07,1.1398019814098985e-06,8.142279724269664e-07,-4.625743743152481e-07,7.881483832981801e-07,1.157815650010698e-06,8.32241641027766e-07,1.1463935179648307e-06,8.208195089818987e-07,2.287893472820418e-07,9.678466170089024e-08,1.161962890882874e-06,8.36388881899942e-07,1.2086267698208941e-06,8.830527608379621e-07,1.1547781714462422e-06,8.292041624633102e-07,2.2522779007694414e-07,1.0034621890598788e-07,2.4674374321740972e-08,3.0089963466119106e-07,1.6479281943333908e-07,1.6078118954959295e-07
-0.5567288955587838,1.450272924618088,0.2190893046434231,1.4443840468756457,1.1236265914244057,1.094364106166653,-0.4900493950534157,4.26937207293456e-06,4.187056516394817e-06,1.1398019814040008e-06,1.057486424864258e-06,1.0631527330010226e-06,9.808371764612797e-07,2.2031452421356774e-06,2.1208296855959344e-06,1.1982696530499779e-06,1.115954096510235e-06,1.1398019818513312e-06,1.0574864253115883e-06,1.1936828832493876e-06,1.1113673267096448e-06,1.206402257493211e-06,1.1240867009534681e-06,1.4976459244676664e-06,1.4153303679279235e-06,1.197314026876024e-06,1.114998470336281e-06,1.197499306017744e-06,1.1151837494780012e-06,1.2247978310183666e-06,1.1424822744786237e-06,1.2461066507775665e-06,1.1637910942378236e-06,1.1908102785780404e-06,1.1084947220382975e-06,9.489058179003889e-07,8.66590261360646e-07,7.988244995166767e-07,7.165089429769338e-07,1.038003355317635e-06,9.556877987778922e-07,8.781033685889673e-07,7.957878120492244e-07,5.422594644010161e-07,4.599439078612732e-07,5.963023836392841e-07,5.139868270995412e-07,3.4040372566693237e-07,2.580881691271895e-07
-0.40132964545664573,-0.7685434516399499,1.2344149152216948,-0.5768866779976944,0.4014229929545065,1.656617580757967,-0.444476336864993,-5.186517892388132e-07,6.993102696965682e-07,1.1398019814040008e-06,9.591435009462458e-07,1.0631527330010226e-06,8.824942525432676e-07,1.9486081469990313e-06,1.7679496665412763e-06,1.3534677675195015e-06,1.1728092870617465e-06,1.1611539442559414e-06,9.804954637981864e-07,1.3274281413801044e-06,1.1467696609223495e-06,1.4781802469428517e-06,1.2975217664850967e-06,1.588381576622652e-06,1.407723096164897e-06,1.3623885837637155e-06,1.1817301033059605e-06,1.139802211565528e-06,9.59143731107773e-07,-1.6899846871996397e-07,3.4965694917771897e-07,1.2042629192518724e-06,1.0236044387941174e-06,1.2074758764184335e-06,1.0268173959606785e-06,3.245467890318742e-07,1.438883085741192e-07,1.267392569141243e-06,1.086734088683488e-06,1.2504963652455137e-06,1.0698378847877587e-06,1.2291833345441483e-06,1.0485248540863933e-06,3.2033332113895055e-07,1.3967484068119556e-07,1.8276305467451287e-07,2.10457421675787e-09,2.6812937656665643e-07,8.747089610890143e-08
-0.41973473433554476,-0.3119857364799539,-1.137133570703603,0.25108091997621307,-0.29768560948274636,1.1795697835094474,-0.5276543556597814,4.6656233574977574e-07,4.653952016959992e-07,1.1398019814040008e-06,1.1386348473502243e-06,1.0631527330010226e-06,1.061985598947246e-06,1.980832869159506e-06,1.9796657351057294e-06,1.517365801041278e-06,1.5161986669875015e-06,1.4388467312167956e-06,1.4376795971630191e-06,1.5981081249252355e-06,1.596940990871459e-06,2.1044102829016763e-06,2.1032431488478997e-06,1.9200855266985466e-06,1.91891839264477e-06,1.7390322816934704e-06,1.737865147639694e-06,1.1398029848430874e-06,1.1386358507893108e-06,-1.0153870314091484e-07,1.0270583719469135e-07,1.281319459703046e-06,1.2801523256492694e-06,1.2967932642561099e-06,1.2956261302023334e-06,3.4790949703838915e-07,3.4674236298461263e-07,1.3338935234115131e-06,1.3327263893577366e-06,1.254810109985915e-06,1.2536429759321385e-06,1.2765690076078703e-06,1.2754018735540938e-06,4.1214081446760705e-07,4.1097368041383053e-07,3.1146031024726694e-07,3.102931761934904e-07,2.7944077366131083e-07,2.782736396075343e-07
-0.5205703993656191,0.47633266747275016,1.452695924718461,-0.38195564680843525,-1.1311692194535192,-0.5353715040861797,0.6042556019410269,2.167688832518078e-06,2.760472066581318e-07,1.1398019814040008e-06,1.3039340577722091e-06,1.0631527330010226e-06,1.3805833061751873e-06,2.147513401518269e-06,2.9622263765794097e-07,1.5870020208129004e-06,8.567340183633095e-07,2.1172668965613137e-06,3.264691426148962e-07,2.558284244864153e-06,1.1454820568794298e-07,3.2295041937938986e-06,7.857681546176887e-07,2.8947994921647226e-06,4.5106345298851264e-07,2.869657285901208e-06,4.2592124672499817e-07,1.142999998978321e-06,1.3007360401978889e-06,6.049045304093656e-07,1.8388315087668444e-06,1.7905313014207018e-06,6.532047377555082e-07,1.6338208094818401e-06,8.099152296943698e-07,6.294064142098876e-07,1.8143296249663223e-06,1.9011194205125363e-06,5.426166186636736e-07,1.6045776531060468e-06,8.391583860701631e-07,1.7019869349467122e-06,7.417491042294977e-07,1.0462692205507614e-06,1.3974668186254486e-06,1.0390548747942066e-06,1.4046811643820033e-06,9.724229976426988e-07,1.471313041533511e-06
-0.5825440759729782,-0.8658187141973471,0.9283564056315199,0.0107425482652282,-1.5857301543468822,-1.2583571367277393,0.9216488606607106,-7.285638321224524e-07,3.857208506688182e-06,1.1398019814040008e-06,1.988842693161729e-06,1.0631527330010226e-06,2.0654919415647074e-06,2.2415202272699022e-06,8.871244472958277e-07,1.5866839569543158e-06,1.5419607176114141e-06,2.732810229318425e-06,3.958344452473048e-07,5.281485292275333e-06,2.152840617709603e-06,3.997228823109421e-06,8.685841485436911e-07,3.8710808278274115e-06,7.424361532616816e-07,4.214834469978769e-06,1.086189795413039e-06,1.5948601429681007e-06,1.5337845315976293e-06,2.0657018963908935e-06,1.0629427781748365e-06,3.791813462839261e-06,6.631687882735312e-07,2.7569231825267607e-06,3.7172149203896924e-07,1.5544279701680333e-06,1.5742167043976967e-06,3.3004367489087e-06,1.7179207434297003e-07,2.8624789515135206e-06,2.6616572305220937e-07,2.9122580039849077e-06,2.1638667058082223e-07,3.3815955965182347e-06,2.5295092195250475e-07,3.232943837407654e-06,1.042991628419242e-07,2.6471892566037374e-06,4.814554179619926e-07
-0.5015083926179995,0.9122906066093404,-1.0832210649540324,0.6669054731720317,1.6806234305228354,0.17065068440122116,-0.032616812834440095,3.1084503294249176e-06,2.0390327564967176e-06,1.1398019814040008e-06,7.038440847580083e-08,1.0631527330010226e-06,6.264839927177387e-09,2.117301489987569e-06,1.0478839170593691e-06,1.1448840755597052e-06,7.546650263150519e-08,1.1398019814040008e-06,7.038440847580083e-08,1.1448245567555046e-06,7.540698382730468e-08,1.1449860741737408e-06,7.556850124554082e-08,1.3294845983054119e-06,2.600670253772119e-07,1.144860888912354e-06,7.544331598415408e-08,1.1404979648314947e-06,7.108039190329474e-08,3.98501852122384e-07,6.70915720805816e-07,1.1727015589716128e-06,1.0328398604341284e-07,1.1424464048020066e-06,7.302883187380666e-08,5.394678116661793e-07,5.299497612620206e-07,8.769550551018089e-07,1.9246251782639111e-07,1.158338657160793e-06,8.892108423259307e-08,9.481076451173713e-07,1.2130992781082866e-07,3.042741205181265e-07,7.651434524100735e-07,2.054423623833792e-07,8.639752105448208e-07,1.9540797891379142e-07,8.740095940144085e-07
3.540730064055594,0.5823640387910043,0.08824671926005069,-1.141313824760124,0.3598710911887956,-0.5051741580267598,-0.5161882844270909,2.3964958403638345e-06,2.3705858644710733e-06,1.1398019814040008e-06,1.1138920055112396e-06,1.0631527330010226e-06,1.0372427571082614e-06,8.929435266105624e-07,8.670335507178012e-07,-8.540984499665249e-07,8.800084258592861e-07,1.2564598089328624e-06,1.2305498330401012e-06,-1.4789475621976432e-06,1.5048575380904044e-06,-7.30991867941999e-08,9.90091626869611e-08,-1.748521720589653e-07,2.007621479517265e-07,3.062740920539983e-07,2.803641161612371e-07,1.1398019814040008e-06,1.1138920055112396e-06,-9.674642001288327e-07,9.933741760215938e-07,1.143357982747715e-06,1.1174480068549537e-06,1.1434996257124984e-06,1.1175896498197372e-06,8.369795380950645e-08,5.778797791674525e-08,1.1371117152381265e-06,1.1112017393453653e-06,1.1373641036532392e-06,1.111454127760478e-06,1.139480235627617e-06,1.1135702597348557e-06,1.6253322470898157e-07,1.3662324881622037e-07,-9.156092410480383e-08,1.1747089999756503e-07,1.395336081056098e-08,1.1956615082200219e-08
1.706571191522511,-0.4836698901832845,1.6508607210639386,0.6411628196719807,1.3865484467525815,-0.8770369430817254,-0.5281773777638207,9.6082005117409e-08,9.604350989169443e-08,1.1398019814040008e-06,1.1397634861782862e-06,1.0631527330010226e-06,1.063114237775308e-06,1.7156887229460222e-07,1.7153037706888765e-07,1.0706666453901836e-06,1.070628150164469e-06,1.1398019814040008e-06,1.1397634861782862e-06,1.069371275674743e-06,1.0693327804490285e-06,1.0694678548022816e-06,1.069429359576567e-06,5.771877545268978e-07,5.771492593011832e-07,1.075252466223336e-06,1.0752139709976214e-06,1.1398019814040008e-06,1.1397634861782862e-06,-9.280644244054757e-07,9.281029196311903e-07,1.142079192079183e-06,1.1420406968534683e-06,1.1403096471925705e-06,1.140271151966856e-06,9.42304634691031e-08,9.419196824338853e-08,1.1622872091859207e-06,1.1622487139602061e-06,1.2500491460207532e-06,1.2500106507950387e-06,1.1476620501780345e-06,1.14762355495232e-06,3.597481262179995e-07,3.5970963099228493e-07,-8.867421629783643e-08,8.8712711523551e-08,7.516861349801948e-09,7.478366124087375e-09
