gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals
2.917292212132508,0.0536489688886692,0.23183548029987866,-0.20223351370353895,-0.4708120383058116,1.245389080002181,-0.48673503835967913,3.1357830688199204e-06,6.510743455018704e-07,3.1357830688199204e-06,6.510743455018704e-07,3.127800247059036e-06,6.430915237409862e-07,1.8427383457991885e-06,6.419703775188614e-07,2.1235033963159515e-06,3.612053270020985e-07,2.282415655768977e-06,2.0229306754907312e-07,2.101006350899639e-06,3.8370237241841093e-07,2.039931346217335e-06,4.4477737710071513e-07,2.621753147839654e-06,1.3704442452160408e-07,2.4463696731930646e-06,3.833905012498533e-08,2.6260745219378945e-06,1.4136579861984458e-07,2.761932304398471e-06,2.772235810804211e-07,2.1874431096009237e-06,2.9726561371712624e-07,2.5200698239550522e-06,3.5361100637002274e-08,2.5714349533801875e-06,8.672623006213751e-08,2.7289072242651054e-06,2.4419850094705546e-07
-0.26918000793969366,-0.5104879848180407,-0.21093903290739802,-1.367823018359838,1.2063836343436785,0.8555288227861443,-0.11354798108135233,2.4560903077807977e-06,4.782477824470524e-07,2.4560903077807977e-06,4.782477824470524e-07,2.532049542008245e-06,4.0228854821960506e-07,2.575400189513444e-06,3.5893790071440613e-07,2.5494938582199993e-06,3.848442320078508e-07,2.5889194811232168e-06,3.454186091046333e-07,2.634570814343384e-06,2.9976727588446593e-07,2.6249981706924306e-06,3.093399195354195e-07,2.4173981214235243e-06,5.169399688043258e-07,2.9737673954718387e-06,3.942930524398858e-08,3.011441371140055e-06,7.710328091220505e-08,2.9419775485203872e-06,7.639458292537149e-09,2.9700080519087093e-06,3.5669961680859183e-08,2.944944782459588e-06,1.0606692231738134e-08,2.930772823004316e-06,3.5652672235342794e-09,2.942458298879766e-06,8.120208651915953e-09
-0.5567288955587838,1.450272924618088,0.2190893046434231,1.4443840468756457,1.1236265914245585,1.0943641061665488,1.7123441345035135,4.8184865087662255e-06,3.157529445030749e-07,4.8184865087662255e-06,3.157529445030749e-07,4.602689812171972e-06,5.315496410973282e-07,5.065247994489737e-06,6.89914587795632e-08,5.011667480396689e-06,1.2257197287261151e-07,5.084202848641753e-06,5.003660462754697e-08,5.179776992976718e-06,4.5537539707417925e-08,5.198738053749459e-06,6.449860048015839e-08,4.564663589221598e-06,5.695758640477025e-07,4.516088116847951e-06,6.181513364213497e-07,4.587157003632914e-06,5.470824496363864e-07,4.726209769262928e-06,4.0802968400637207e-07,4.809126837734731e-06,3.2511261553456947e-07,4.721437356413132e-06,4.128020968561687e-07,4.908998227487737e-06,2.2524122578156314e-07,4.871613259355615e-06,2.626261939136854e-07
-0.40132964545664573,-0.7685434516399499,1.2344149152216948,-0.5768866779976944,0.4014229929551049,1.6566175807580887,-0.3550350971297242,2.145175676869008e-06,4.982099352702919e-07,2.145175676869008e-06,4.982099352702919e-07,2.259532868014061e-06,3.8385274412523884e-07,2.3230588447228584e-06,3.2032676741644156e-07,2.284434212705573e-06,3.589513994337269e-07,2.294113028952942e-06,3.492725831863578e-07,2.353424506336296e-06,2.8996110580300377e-07,2.396499367046334e-06,2.468862450929658e-07,2.3450039127008852e-06,2.983816994384147e-07,2.5860336970566687e-06,5.735191508263127e-08,2.5915177121450277e-06,5.1867899994272263e-08,2.538813159679512e-06,1.0457245245978795e-07,2.7642820325350076e-06,1.2089642039570766e-07,2.7976523596402743e-06,1.5426674750097438e-07,2.7622969344597194e-06,1.1891132232041946e-07,2.522144769072546e-06,1.2124084306675406e-07
-0.41973473433554476,-0.3119857364799539,-1.137133570703603,0.25108091997621307,-0.2976856094824688,1.179569783510034,-0.06781118261559536,2.695253050726249e-06,2.941904011093112e-07,2.695253050726249e-06,2.941904011093112e-07,2.7416756861999333e-06,2.477677656356269e-07,2.88129399000684e-06,1.0814946182872012e-07,2.8408980216498633e-06,1.4854543018569692e-07,2.8234213222632748e-06,1.6602212957228542e-07,2.8576978245884917e-06,1.3174562724706846e-07,2.858379763721643e-06,1.3106368811391735e-07,2.539469776103584e-06,4.4997367573197606e-07,3.2800911756704185e-06,2.9064772383485835e-07,3.25847749788279e-06,2.6903404604722964e-07,3.241112849165791e-06,2.5166939733023095e-07,3.3431595044452713e-06,3.5371605260971114e-07,3.0798051445330164e-06,9.036169269745621e-08,3.0793518764473245e-06,8.99084246117643e-08,3.2543078611856924e-06,2.6486440935013225e-07
-0.5205703993656191,0.47633266747275016,1.452695924718461,-0.38195564680843525,-1.1311692194535832,-0.5353715040859935,0.8112226411553302,3.6450477930134796e-06,4.034876449078907e-07,3.64504779301348e-06,4.0348764490789025e-07,3.574170777814691e-06,4.7436466010667934e-07,3.875782583673502e-06,1.7275285424786782e-07,3.825682023343079e-06,2.2285341457829121e-07,3.776284449395392e-06,2.7225098852597824e-07,3.768996064020572e-06,2.795393739007984e-07,3.7560857087056968e-06,2.9244972921567346e-07,3.9789675828445815e-06,6.956785507678873e-08,3.99093668019795e-06,5.759875772342006e-08,3.936576874853701e-06,1.1195856306766912e-07,3.910002668053569e-06,1.3853276986780156e-07,3.727145711833587e-06,3.213897260877833e-07,4.2221604168929925e-06,1.7362497897162228e-07,4.191580883288588e-06,1.4304544536721816e-07,3.904347897997647e-06,1.4418753992372335e-07
-0.5825440759729782,-0.8658187141973471,0.9283564056315199,0.0107425482652282,-1.5857301543471651,-1.2583571367278825,-0.8350027546930341,2.027974895473615e-06,3.7128191057034875e-08,2.027974895473615e-06,3.7128191057034875e-08,2.1568063831209997e-06,9.170329659034978e-08,2.286178561267254e-06,2.2107547473660406e-07,2.230113551310903e-06,1.6501046478025325e-07,2.1620800770686927e-06,9.697699053804279e-08,2.125957599275518e-06,6.085451274486794e-08,2.1307966589289465e-06,6.569357239829653e-08,2.173533251024471e-06,1.0843016449382088e-07,2.43516398252527e-06,3.7006089599462016e-07,2.359642314792951e-06,2.94539228262301e-07,2.331301681765193e-06,2.661985952345432e-07,2.1045719851383836e-06,3.9468898607733694e-08,2.5071994480829114e-06,4.4209636155226146e-07,2.501809927451723e-06,4.367068409210732e-07,2.2047907005562167e-06,1.396876140255667e-07
-0.5015083926179995,0.9122906066093404,-1.0832210649540324,0.6669054731720317,1.680623430523875,0.1706506844016765,0.9568100320014443,4.170305805986563e-06,5.3638626163047e-08,4.170305805986563e-06,5.3638626163047e-08,4.034559426185599e-06,1.8938500596401155e-07,4.392591656518927e-06,1.6864722436931627e-07,4.3443256553955615e-06,1.2038122324595117e-07,4.477433377596599e-06,2.5348894544698883e-07,4.541327530939092e-06,3.173830987894813e-07,4.453887843665978e-06,2.2994341151636753e-07,3.8999408588196885e-06,3.240035733299218e-07,4.240518152958502e-06,1.6573720808891414e-08,4.375071291204614e-06,1.5112685905500404e-07,4.384467458311171e-06,1.605230261615604e-07,4.342854920097615e-06,1.1891048794800464e-07,4.036657078665819e-06,1.872873534837914e-07,4.033273917159835e-06,1.9067051498977506e-07,4.49999740033177e-06,2.760529681821598e-07
3.540730064055594,0.5823640387910043,0.08824671926005069,-1.141313824760124,0.3598710911893904,-0.5051741580265583,0.11031428675807307,3.772798253348572e-06,5.687427444682218e-07,3.772798253348572e-06,5.687427444682218e-07,3.6861440562983986e-06,4.820885474180485e-07,2.203424329842554e-06,1.0006311790377962e-06,2.544190075271293e-06,6.59865433609057e-07,2.475403675267084e-06,7.286518336132662e-07,1.9630371721073727e-06,1.2410183367729774e-06,2.739193366757822e-06,4.6486214212252806e-07,3.0478097617960344e-06,1.562457470843157e-07,2.6057071142960216e-06,5.983483945843285e-07,2.5558606001952815e-06,6.481949086850685e-07,3.01069831553366e-06,1.933571933466899e-07,3.972072532806651e-06,7.68017023926301e-07,2.3679027482105695e-06,8.361527606697806e-07,2.656294433866921e-06,5.477610750134289e-07,2.7127655105543976e-06,4.912899983259525e-07
1.706571191522511,-0.4836698901832845,1.6508607210639386,0.6411628196719807,1.3865484467536282,-0.877036943081721,-1.2421212656518656,2.488401725546177e-06,9.138098579058371e-07,2.488401725546177e-06,9.138098579058371e-07,2.5603704996796e-06,9.8577863203926e-07,1.7319903984668327e-06,1.5739853082649275e-07,1.8962336459569498e-06,3.2164177831660986e-07,1.579189603673068e-06,4.5977360327280505e-09,1.305661895763961e-06,2.689299718763789e-07,1.8962790540342076e-06,3.216871863938677e-07,2.4330190278282584e-06,8.584271601879185e-07,2.3043703404501166e-06,7.297784728097767e-07,1.9853752108663133e-06,4.1078334322597334e-07,1.9564825202340262e-06,3.818906525936863e-07,2.2492083010050017e-06,6.746164333646617e-07,2.538381418156691e-06,9.637895505163513e-07,2.5054130468840676e-06,9.308211792437277e-07,1.880720824465605e-06,3.0612895682526497e-07
-0.6036766556600057,0.6746221117142455,0.036674776416668324,0.9437423617180304,-1.6919321530553912,1.125215965286458,0.849294037443126,3.883954141827998e-06,2.1045110180179155e-07,3.883954141827998e-06,2.1045110180179155e-07,3.7835721925506163e-06,3.1083305107917364e-07,4.1515244972300645e-06,5.711925360027458e-08,4.093425652686042e-06,9.795909437475343e-10,4.020160298400156e-06,7.424494522963397e-08,3.9766223713611885e-06,1.1778287226860143e-07,4.0438523647330654e-06,5.05528788967245e-08,3.9193727462132305e-06,1.7503249741655943e-07,4.144080854409126e-06,4.967561077933634e-08,4.06493403925257e-06,2.947120437721981e-08,4.071125975797478e-06,2.3279267832312066e-08,4.151840293348313e-06,5.743504971852286e-08,4.126388593397861e-06,3.1983349768071184e-08,4.148439680884425e-06,5.4034437254635167e-08,4.136482812279464e-06,4.20775686496742e-08
-0.38607572519891725,2.141824326345336,1.2363007329851563,-1.0725979018772342,0.009771363882741373,0.3302353166713632,2.025229859111476,5.65169284022885e-06,1.4047726325204987e-07,5.65169284022885e-06,1.4047726325204987e-07,5.332995161698963e-06,1.7822041527783728e-07,5.822814943485673e-06,3.1159936650887213e-07,5.785658374103296e-06,2.7444279712649547e-07,5.779545746204307e-06,2.683301692275064e-07,5.823529345744336e-06,3.1231376876753587e-07,5.77941358624095e-06,2.681980092641499e-07,5.084755783701624e-06,4.2645979327517666e-07,4.719940520144172e-06,7.912750568326288e-07,4.7109812830728654e-06,8.002342939039351e-07,4.667895284462062e-06,8.433202925147389e-07,4.601690003820477e-06,9.095255731563232e-07,5.132878940103768e-06,3.7833663687303237e-07,5.010052286510668e-06,5.011632904661324e-07,4.7859189209067905e-06,7.2529665607001e-07
