gamma1,lambda1,delta,epsilon,NRow,NCol,FValue
0.001,0.05,1.76387264781528,1.88653231240704,2.74532389447042e-05,2.60297302491061e-05,5.86958465964432e-12
0.001,0.05,1.76387264781528,1.88653231240704,8.3949153963993e-06,2.31545780049898e-05,-6.06133347664522e-11
0.001,0.05,1.76387264781528,1.88653231240704,7.29362603069215e-06,2.79039186450187e-06,1.84357094698195e-11
0.001,0.05,1.76387264781528,1.88653231240704,3.4128686618716e-06,4.35378524859893e-06,-3.86370296500277e-12
0.001,0.05,1.76387264781528,1.88653231240704,2.10414287346537e-05,7.29362603069215e-06,5.64665614024168e-11
0.001,0.05,1.76387264781528,1.88653231240704,7.61783011090904e-06,2.74532389447042e-05,-8.14494154336779e-11
0.001,0.05,1.76387264781528,1.88653231240704,1.09592610394781e-05,3.96625733761157e-06,2.87126177410815e-11
0.001,0.05,1.76387264781528,1.88653231240704,5.41958598564093e-05,7.93341243048165e-06,1.90023816264672e-10
0.001,0.05,1.76387264781528,1.88653231240704,1.56414415756659e-05,4.68970505841183e-06,4.50291389660291e-11
0.001,0.05,1.76387264781528,1.88653231240704,5.41958598564093e-05,5.45869730121237e-06,2.00184685795794e-10
0.001,0.05,1.76387264781528,1.88653231240704,7.29362603069215e-06,2.74532389447042e-05,-8.27810331096469e-11
0.001,0.05,1.76387264781528,1.88653231240704,3.39597610487769e-05,2.60297302491061e-05,3.25967082481584e-11
0.001,0.05,1.76387264781528,1.88653231240704,3.39597610487769e-05,5.41958598564093e-05,-8.30426288588687e-11
0.001,0.05,1.76387264781528,1.88653231240704,2.74532389447042e-05,5.41958598564093e-05,-1.09772126842897e-10
0.001,0.05,1.76387264781528,1.88653231240704,5.45869730121237e-06,1.24576430865814e-05,-2.87384134457157e-11
0.001,0.05,1.76387264781528,1.88653231240704,2.10414287346537e-05,5.9083709909501e-06,6.21343722401976e-11
0.001,0.05,1.76387264781528,1.88653231240704,1.24576430865814e-05,5.45869730121237e-06,2.87461535901577e-11
0.001,0.05,1.76387264781528,1.88653231240704,9.05880901012154e-06,3.39597610487769e-05,-1.02247369046834e-10
0.001,0.05,1.76387264781528,1.88653231240704,2.74532389447042e-05,7.61783011090904e-06,8.14708633598462e-11
0.001,0.05,1.76387264781528,1.88653231240704,2.55911936733601e-05,1.97620751480747e-05,2.39561456366732e-11
0.001,0.05,1.76387264781528,1.88653231240704,1.01071737906237e-05,2.72479744964701e-05,-7.03819206266334e-11
0.001,0.05,1.76387264781528,1.88653231240704,1.01071737906237e-05,6.49532445767109e-06,1.48433065817429e-11
0.001,0.05,1.76387264781528,1.88653231240704,4.00608610015167e-06,2.10054306070643e-05,-6.98073194560361e-11
0.001,0.05,1.76387264781528,1.88653231240704,4.00608610015167e-06,1.02636604112199e-05,-2.56956008250088e-11
0.001,0.05,1.76387264781528,1.88653231240704,7.56907956346106e-06,2.29616629151766e-06,3.89260955413246e-11
0.001,0.05,1.76387264781528,1.88653231240704,4.00608610015167e-06,5.57731036800539e-06,-6.45190416960704e-12
0.001,0.05,1.76387264781528,1.88653231240704,2.29616629151766e-06,4.00608610015167e-06,-7.02081661169553e-12
0.001,0.05,1.76387264781528,1.88653231240704,6.49971330146005e-06,2.55911936733601e-05,-7.83959162244578e-11
0.001,0.05,1.76387264781528,1.88653231240704,1.20106732197776e-05,3.86222735511952e-05,-1.09266813348296e-10
0.001,0.05,1.76387264781528,1.88653231240704,2.29616629151766e-06,1.1730731287095e-05,-3.87451350136192e-11
0.001,0.05,1.76387264781528,1.88653231240704,1.01071737906237e-05,6.96526496201096e-06,1.29057957363204e-11
0.001,0.05,1.76387264781528,1.88653231240704,1.48178172569297e-05,2.55911936733601e-05,-4.42303948875733e-11
0.001,0.05,1.76387264781528,1.88653231240704,8.8710494553912e-06,6.49971330146005e-06,9.73592410506497e-12
