gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals,Model_19_Y_pred,Model_19_Residuals,Model_20_Y_pred,Model_20_Residuals,Model_21_Y_pred,Model_21_Residuals,Model_22_Y_pred,Model_22_Residuals,Model_23_Y_pred,Model_23_Residuals,Model_24_Y_pred,Model_24_Residuals,Model_25_Y_pred,Model_25_Residuals
2.917292212132508,0.0536489688886692,0.23183548029987866,-0.20223351370353895,-0.470812038306053,1.245389080002379,-0.528194298050576,1.2555720586256013e-06,1.2555700759917382e-06,1.1398019814040008e-06,1.1397999987701377e-06,1.0681591028291452e-06,1.068157120195282e-06,7.355811550748283e-07,7.355791724409652e-07,-1.5526568328093045e-06,1.5526588154431676e-06,1.224246964320746e-06,1.2242449816868828e-06,-8.027059005616779e-07,8.02707883195541e-07,-3.734495304581199e-07,3.73451513091983e-07,-2.8550497419925656e-07,2.855069568331197e-07,1.0586114691610382e-07,1.058591642822407e-07,4.076874888248381e-07,4.07685506190975e-07,8.229356688110103e-07,8.229336861771472e-07,7.421246682511721e-08,7.421048419125409e-08,1.1070175293748401e-06,1.107015546740977e-06,1.1009676776171517e-06,1.1009656949832886e-06,4.0740342059653886e-07,4.0740143796267574e-07,7.64057274181188e-07,7.640552915473249e-07,4.457449385791344e-07,4.457429559452713e-07,8.833210582177353e-08,8.833012318791041e-08,1.8496603869254406e-08,1.8494621235391286e-08,-5.857202496924658e-08,5.85740076031097e-08,-3.191230641261849e-07,3.19125046760048e-07,-3.333769865013086e-07,3.3337896913517174e-07,-2.7273981005636596e-07,2.727417926902291e-07,-2.730085160255907e-07,2.7301049865945384e-07
-0.26918000793969366,-0.5104879848180407,-0.21093903290739802,-1.367823018359838,1.2063836343427812,0.8555288227871655,-0.3773210851115487,3.821075519190194e-08,2.873632537910301e-07,1.1398019814040008e-06,8.142279724210688e-07,1.0681591028291452e-06,7.425850938462131e-07,1.7020129941191967e-06,1.3764389851362647e-06,1.1612745194041997e-06,8.357005104212677e-07,1.1398019814048339e-06,8.142279724219018e-07,1.16012428280451e-06,8.345502738215781e-07,1.163369000558543e-06,8.37794991575611e-07,1.286961619062768e-06,9.61387610079836e-07,1.1606451189118656e-06,8.350711099289336e-07,5.169042507139616e-07,1.9133024173102954e-07,1.112340063816903e-06,7.86766054833971e-07,1.9651822487664308e-07,1.2905578410628895e-07,1.1850852455642718e-06,8.595112365813398e-07,1.1872912988852649e-06,8.617172899023328e-07,3.9432266003213814e-07,6.874865104920611e-08,1.1981856574069324e-06,8.726116484240004e-07,5.598177096058585e-07,2.342437006229265e-07,2.588649788823813e-07,6.670903010055072e-08,1.6954204124858147e-07,1.5603196773435056e-07,-9.372604543647352e-09,3.349466135265794e-07,-2.008096757972379e-07,5.263836847801699e-07,-2.3325208048883836e-07,5.588260894717704e-07,-1.892756754744727e-07,5.148496844574047e-07,-2.075723527267744e-07,5.331463617097064e-07
-0.5567288955587838,1.450272924618088,0.2190893046434231,1.4443840468756457,1.1236265914244057,1.094364106166653,-0.4900493950534157,4.26937207293456e-06,4.187056516394817e-06,1.1398019814040008e-06,1.057486424864258e-06,1.0681591028291452e-06,9.858435462894023e-07,2.2031452421356774e-06,2.1208296855959344e-06,1.1982696530499779e-06,1.115954096510235e-06,1.1398019818513312e-06,1.0574864253115883e-06,1.1936828832493876e-06,1.1113673267096448e-06,1.206402257493211e-06,1.1240867009534681e-06,1.493745155494229e-06,1.411429598954486e-06,1.1973784762024396e-06,1.1150629196626967e-06,1.8608934308338895e-06,1.7785778742941466e-06,1.3063933684604467e-06,1.2240778119207038e-06,8.384889430065365e-07,7.561733864667936e-07,5.890516491948332e-07,5.067360926550903e-07,8.812418252107352e-07,7.989262686709923e-07,4.531265239320393e-07,3.708109673922964e-07,7.212817292773678e-07,6.389661727376249e-07,-2.6532611246721055e-07,3.4764166900695343e-07,-2.368375805178721e-08,1.0599931459153009e-07,4.433637070414542e-09,7.788191946932834e-08,2.3010960791097688e-07,1.47794051371234e-07,5.199887067258738e-10,8.1795567833017e-08,1.0475536282262199e-07,2.2439806282879112e-08,-9.124344484699559e-08,1.7355900138673846e-07,1.505992721870632e-08,6.725562932103656e-08
-0.40132964545664573,-0.7685434516399499,1.2344149152216948,-0.5768866779976944,0.4014229929545065,1.656617580757967,-0.444476336864993,-5.186517892388132e-07,6.993102696965682e-07,1.1398019814040008e-06,9.591435009462458e-07,1.0681591028291452e-06,8.875006223713902e-07,1.9486081469990313e-06,1.7679496665412763e-06,1.3534677675195015e-06,1.1728092870617465e-06,1.1611539442559414e-06,9.804954637981864e-07,1.3274281413801044e-06,1.1467696609223495e-06,1.4781802469428517e-06,1.2975217664850967e-06,1.5799462842790456e-06,1.3992878038212906e-06,1.363357080020242e-06,1.182698599562487e-06,8.534018175538438e-07,6.727433370960888e-07,1.241852814166276e-06,1.061194333708521e-06,2.7945945991773726e-07,9.880097945998226e-08,1.2420581861608391e-06,1.0613997057030841e-06,1.249084762460124e-06,1.068426282002369e-06,5.204349430536027e-07,3.3977646259584773e-07,1.269294973552549e-06,1.088636493094794e-06,6.416681802983618e-07,4.6100969984060676e-07,3.7712264133607316e-07,1.9646416087831816e-07,2.9534711353576906e-07,1.1468863307801406e-07,5.547567319267341e-08,1.2518280726508159e-07,-3.9263974019176043e-07,5.732982206495154e-07,-4.169099932497641e-07,5.975684737075191e-07,-2.3749906248092925e-07,4.1815754293868425e-07,-2.498664900362019e-07,4.305249704939569e-07
-0.41973473433554476,-0.3119857364799539,-1.137133570703603,0.25108091997621307,-0.29768560948274636,1.1795697835094474,-0.5276543556597814,4.6656233574977574e-07,4.653952016959992e-07,1.1398019814040008e-06,1.1386348473502243e-06,1.0681591028291452e-06,1.0669919687753687e-06,1.980832869159506e-06,1.9796657351057294e-06,1.517365801041278e-06,1.5161986669875015e-06,1.4388467312167956e-06,1.4376795971630191e-06,1.5981081249252355e-06,1.596940990871459e-06,2.1044102829016763e-06,2.1032431488478997e-06,1.8959825956383395e-06,1.894815461584563e-06,1.746103541566541e-06,1.7449364075127646e-06,9.196997743022368e-07,9.185326402484603e-07,1.3638126749971848e-06,1.3626455409434083e-06,2.9980507507990407e-07,2.9863794102612755e-07,1.241121917491691e-06,1.2399547834379145e-06,1.2529664783340804e-06,1.251799344280304e-06,6.500645485819319e-07,6.488974145281554e-07,1.2717018894270319e-06,1.2705347553732554e-06,6.400648719165115e-07,6.38897737862735e-07,3.8832556853141423e-07,3.871584344776377e-07,3.269262538940589e-07,3.2575911984028237e-07,2.3723428792516443e-07,2.3606715387138792e-07,-1.0898534955533898e-07,1.101524836091155e-07,-1.1254803260667543e-07,1.1371516666045195e-07,-3.937310205800001e-07,3.948981546337766e-07,-3.878550765315547e-07,3.890222105853312e-07
-0.5205703993656191,0.47633266747275016,1.452695924718461,-0.38195564680843525,-1.1311692194535192,-0.5353715040861797,0.6042556019410269,2.167688832518078e-06,2.760472066581318e-07,1.1398019814040008e-06,1.3039340577722091e-06,1.0681591028291452e-06,1.3755769363470648e-06,2.147513401518269e-06,2.9622263765794097e-07,1.5870020208129004e-06,8.567340183633095e-07,2.1172668965613137e-06,3.264691426148962e-07,2.558284244864153e-06,1.1454820568794298e-07,3.2295041937938986e-06,7.857681546176887e-07,2.79889591822926e-06,3.5515987905304993e-07,2.92992819994641e-06,4.861921607701999e-07,1.4854716278468226e-06,9.582644113293874e-07,2.242922893812452e-06,2.0081314536375786e-07,5.483968670145846e-07,1.8953391721616254e-06,1.7404931432003596e-06,7.032428959758503e-07,1.6887307202320488e-06,7.550053189441611e-07,1.195432794801344e-06,1.248303244374866e-06,1.8023388945241344e-06,6.413971446520755e-07,1.3423722560044967e-06,1.1013637831717132e-06,1.1079460750333964e-06,1.3357899641428136e-06,1.0331080681666389e-06,1.410627971009571e-06,1.412187519099755e-06,1.031548520076455e-06,1.346319594384326e-06,1.097416444791884e-06,1.325041458131098e-06,1.1186945810451118e-06,1.5729310159648181e-06,8.708050232113918e-07,1.5549814817166597e-06,8.887545574595502e-07
-0.5825440759729782,-0.8658187141973471,0.9283564056315199,0.0107425482652282,-1.5857301543468822,-1.2583571367277393,0.9216488606607106,-7.285638321224524e-07,3.857208506688182e-06,1.1398019814040008e-06,1.988842693161729e-06,1.0681591028291452e-06,2.060485571736585e-06,2.2415202272699022e-06,8.871244472958277e-07,1.5866839569543158e-06,1.5419607176114141e-06,2.732810229318425e-06,3.958344452473048e-07,5.281485292275333e-06,2.152840617709603e-06,3.997228823109421e-06,8.685841485436911e-07,3.6678501021713646e-06,5.392054276056346e-07,4.410591157391578e-06,1.281946482825848e-06,2.2599756842869577e-06,8.686689902787723e-07,4.298463002387151e-06,1.1698183278214207e-06,1.4127856247543216e-06,1.7158590498114084e-06,2.977854109423124e-06,1.507905651426059e-07,2.8416829951347863e-06,2.8696167943094365e-07,2.9356003333439015e-06,1.9304434122182852e-07,3.099291404371071e-06,2.9353270194658956e-08,2.910011675121372e-06,2.18632999444358e-07,2.8319817513869684e-06,2.9666292317876156e-07,2.822574873200628e-06,3.0606980136510207e-07,2.917498695709475e-06,2.1114597885625513e-07,2.9110800268361292e-06,2.1756464772960074e-07,2.9335991136378618e-06,1.950455609278682e-07,3.3911877317903117e-06,2.625430572245817e-07,3.392514679551816e-06,2.6387000498608585e-07
-0.5015083926179995,0.9122906066093404,-1.0832210649540324,0.6669054731720317,1.6806234305228354,0.17065068440122116,-0.032616812834440095,3.1084503294249176e-06,2.0390327564967176e-06,1.1398019814040008e-06,7.038440847580083e-08,1.0681591028291452e-06,1.2584700990547937e-09,2.117301489987569e-06,1.0478839170593691e-06,1.1448840755597052e-06,7.546650263150519e-08,1.1398019814040008e-06,7.038440847580083e-08,1.1448245567555046e-06,7.540698382730468e-08,1.1449860741737408e-06,7.556850124554082e-08,1.3282624151488288e-06,2.588448422206288e-07,1.144861387074346e-06,7.544381414614607e-08,1.3391266778981835e-06,2.697091049699835e-07,1.2121563273936711e-06,1.4273875446547118e-07,4.682724860618354e-07,6.011450868663646e-07,8.762542080989369e-07,1.9316336482926303e-07,1.0144287026081245e-06,5.498887032007551e-08,2.6566868525293173e-07,8.037488876752682e-07,9.385032553616293e-07,1.3091431756657064e-07,1.191838654712746e-07,9.502337074569254e-07,6.73036449004378e-08,1.0021139280277622e-06,1.6886251165779376e-08,1.0525313217624206e-06,1.885659589568935e-07,8.808516139713065e-07,2.1457554017902955e-07,8.548420327491704e-07,2.2991170130246266e-07,8.395058716257373e-07,-5.741084298630255e-08,1.1268284159145025e-06,-3.108684138264356e-08,1.1005044143108435e-06
3.540730064055594,0.5823640387910043,0.08824671926005069,-1.141313824760124,0.3598710911887956,-0.5051741580267598,-0.5161882844270909,2.3964958403638345e-06,2.3705858644710733e-06,1.1398019814040008e-06,1.1138920055112396e-06,1.0681591028291452e-06,1.042249126936384e-06,8.929435266105624e-07,8.670335507178012e-07,-8.540984499665249e-07,8.800084258592861e-07,1.2564598089328624e-06,1.2305498330401012e-06,-1.4789475621976432e-06,1.5048575380904044e-06,-7.30991867941999e-08,9.90091626869611e-08,-1.6653566572358732e-07,1.9244564161634852e-07,3.1958064435297394e-07,2.9367066846021274e-07,7.457181599728034e-07,7.198081840800422e-07,9.288145411844187e-07,9.029045652916575e-07,7.220799562056579e-08,4.629801972780459e-08,1.105787942128082e-06,1.0798779662353207e-06,1.0995935357177524e-06,1.0736835598249912e-06,3.982253589759229e-07,3.723153830831617e-07,4.4576895478888844e-07,4.1985897889612724e-07,4.4392900016049946e-07,4.1801902426773826e-07,8.55655028230728e-08,5.96555269303116e-08,1.4569548840637536e-08,1.1340427052123663e-08,9.23126201622051e-08,6.64026442694439e-08,3.4409957783263526e-07,3.1818960193987406e-07,3.286602836458394e-07,3.027503077530782e-07,3.961410501822574e-07,3.702310742894962e-07,3.9485178665210995e-07,3.6894181075934875e-07
1.706571191522511,-0.4836698901832845,1.6508607210639386,0.6411628196719807,1.3865484467525815,-0.8770369430817254,-0.5281773777638207,9.6082005117409e-08,9.604350989169443e-08,1.1398019814040008e-06,1.1397634861782862e-06,1.0681591028291452e-06,1.0681206076034306e-06,1.7156887229460222e-07,1.7153037706888765e-07,1.0706666453901836e-06,1.070628150164469e-06,1.1398019814040008e-06,1.1397634861782862e-06,1.069371275674743e-06,1.0693327804490285e-06,1.0694678548022816e-06,1.069429359576567e-06,5.803501471085997e-07,5.803116518828851e-07,1.0753334606316282e-06,1.0752949654059136e-06,-6.673202174460072e-07,6.673587126717218e-07,7.503381580126847e-07,7.502996627869701e-07,8.117728566044582e-08,8.113879043473124e-08,1.0872285538281387e-06,1.0871900586024241e-06,1.0875327229876524e-06,1.0874942277619378e-06,3.8896623186028584e-07,3.8892773663457127e-07,9.962793948910813e-07,9.962408996653667e-07,4.1670125719801817e-07,4.166627619723036e-07,6.898710644137671e-08,6.894861121566214e-08,2.9786312292353865e-10,2.593678972089659e-10,-2.644213030294575e-07,2.644597982551721e-07,1.2430399707776187e-07,1.242655018520473e-07,1.115642145221917e-07,1.1152571929647712e-07,5.858742776137243e-07,5.858357823880098e-07,5.871693939516544e-07,5.871308987259399e-07
