gamma1,lambda1,delta,epsilon,NRow,NCol,FValue,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals
2.917292212132508,0.0536489688886692,0.23183548029987866,-0.20223351370353895,-0.2955423253097415,0.10784970872758336,-0.816815055522948,-1.0647878394173403e-09,1.47583858726021e-09,-2.280420390331024e-10,2.312584387644448e-09,-1.6651959474938285e-10,2.3741068319281674e-09,-7.583859626347842e-10,1.782240464042766e-09,-3.7558542894602317e-10,2.165040997731527e-09,-6.481942866583778e-10,1.8924321400191727e-09,-3.9965747183539535e-09,1.4559482916764033e-09,-4.056370626721043e-09,1.5157442000434928e-09,-3.2002479202676333e-09,6.59621493590083e-10,-3.190511941478241e-09,6.498855148006909e-10,-2.8157313853407277e-09,2.7510495866317747e-10,-2.5359337509020755e-09,4.692675775474727e-12,-2.584295468540371e-09,4.3669041862820644e-11,-2.6124249499966118e-09,7.179852331906151e-11,-3.8858236320371154e-09,1.3451972053595652e-09
-0.26918000793969366,-0.5104879848180407,-0.21093903290739802,-1.367823018359838,3.551153768846248,0.1839839342919986,-0.18246612585926034,9.826061039050835e-09,1.0570705105780326e-08,-2.280420390331024e-10,5.166020276963876e-10,-1.6651959474938285e-10,5.781244719801071e-10,5.095874321724329e-10,1.2542314989019229e-09,-4.797405709551904e-10,2.649034957742995e-10,3.279027646911894e-09,4.023671713641384e-09,-1.2191009676710727e-10,6.227339699623827e-10,3.964209022750662e-09,4.7088530894801516e-09,4.397959439772159e-09,5.142603506501649e-09,4.481690201315723e-09,5.226334268045213e-09,3.607712342392983e-09,4.352356409122473e-09,3.2925743128423716e-09,4.037218379571862e-09,1.4476345806108162e-09,2.192278647340306e-09,2.0767297512641368e-09,2.821373817993627e-09,-6.112670470693416e-10,1.3337701966014837e-10
-0.5567288955587838,1.450272924618088,0.2190893046434231,1.4443840468756457,0.445240565815737,-0.1536368091690367,0.25362861102958767,1.0325326458840834e-09,5.424958956477434e-10,-2.280420390331024e-10,7.180787892694424e-10,-1.6651959474938285e-10,6.565563449857229e-10,1.1670806273398754e-09,6.770438771035354e-10,-1.785977792508842e-11,5.078965281614285e-10,3.9571761391159547e-10,9.43191363247446e-11,6.568871453056139e-10,1.668503950692738e-10,1.1042257087168238e-09,6.141889584804837e-10,1.2255430609660728e-09,7.355063107297327e-10,2.0489950574120366e-09,1.5589583071756965e-09,1.8162862172670174e-09,1.3262494670306774e-09,1.897147372438712e-09,1.4071106222023719e-09,1.4980065268886924e-09,1.0079697766523523e-09,1.6039486357757906e-09,1.1139118855394505e-09,1.8665396708446474e-09,1.3765029206083073e-09
-0.40132964545664573,-0.7685434516399499,1.2344149152216948,-0.5768866779976944,0.9513713323700332,0.656825822892271,-0.3762735969432821,2.4655009793223232e-09,3.758856934755693e-09,-2.280420390331024e-10,1.0653139164002678e-09,-1.6651959474938285e-10,1.1268363606839873e-09,8.331240547336583e-10,2.1264800101670286e-09,-1.1266101449206602e-09,1.6674581051270993e-10,7.874130667759404e-11,1.3720972621109641e-09,-5.463232037838661e-10,7.47032751649504e-10,5.742139273900656e-10,1.8675698828234357e-09,9.112126063277429e-10,2.204568561761113e-09,1.40667947679971e-09,2.70003543223308e-09,6.393013317414877e-10,1.932657287174858e-09,1.530340474052663e-09,2.823696429486033e-09,-3.359372491127425e-10,9.574187063206277e-10,-1.6527639432236267e-10,1.1280795611110074e-09,-6.482981119838423e-10,6.450578434495278e-10
-0.41973473433554476,-0.3119857364799539,-1.137133570703603,0.25108091997621307,-0.4992500870910152,0.19801555750298666,-0.5357079244950609,-1.6415296444955559e-09,1.0322021492845405e-10,-2.280420390331024e-10,1.5167078203909076e-09,-1.6651959474938285e-10,1.5782302646746271e-09,8.754033844326258e-10,2.620153243856636e-09,-4.989364805126218e-10,1.2458133789113882e-09,-9.542778172561043e-10,7.904720421679056e-10,4.816185003536589e-11,1.7929117094593758e-09,-5.480000473667765e-10,1.1967498120572336e-09,-7.537702819347605e-10,9.909795774892494e-10,-1.3475491490466113e-10,1.6099949445193489e-09,-3.0417127908237087e-10,1.4405785803416391e-09,-1.1545422756658797e-09,5.902075837581302e-10,-5.984588935005893e-10,1.1462909659234206e-09,-6.639529929609706e-10,1.0807968664630393e-09,-9.986888707260228e-10,7.460609886979872e-10
-0.5205703993656191,0.47633266747275016,1.452695924718461,-0.38195564680843525,0.1951067124662578,-0.6112085391818017,1.105410869118559,3.2434828987094897e-10,2.577272745461551e-09,-2.280420390331024e-10,3.1296630743656024e-09,-1.6651959474938285e-10,3.068140630081883e-09,1.0940907992348947e-09,1.8075302360976054e-09,6.081195128018831e-10,2.293501522530617e-09,6.117741613114134e-10,2.289846874021087e-09,1.1818574061044594e-09,1.7197636292280406e-09,1.3016891530330254e-09,1.5999318822994746e-09,1.1990088432251077e-09,1.7026121921073923e-09,1.935545860457918e-09,9.660751748745822e-10,2.0784940633945774e-09,8.231269719379226e-10,3.0745273110982026e-09,1.729062757657025e-10,1.6938414974348907e-09,1.2077795378976094e-09,1.7693492730838937e-09,1.1322717622486064e-09,1.5387853079879603e-09,1.3628357273445397e-09
-0.5825440759729782,-0.8658187141973471,0.9283564056315199,0.0107425482652282,-1.0515360979944548,0.9850246019691735,-0.21184520460768613,-3.2051737003853205e-09,2.3773509527811398e-09,-2.280420390331024e-10,5.997807085710786e-10,-1.6651959474938285e-10,6.613031528547981e-10,1.2174291963858146e-09,2.0452519439899955e-09,-1.5756012548790616e-09,7.477785072748806e-10,-2.3492181737007736e-09,1.5213954260965926e-09,-7.294271160597268e-10,9.839563154445411e-11,-1.9043391500930928e-09,1.0765164024889118e-09,-2.461599217770085e-09,1.633776470165904e-09,-1.3784824112316975e-09,5.506596636275166e-10,-1.970996556249813e-09,1.1431738086456319e-09,-1.202955489001353e-09,3.751327413971721e-10,-9.427407504568068e-10,1.1491800285262585e-10,-1.1242830915978856e-09,2.964603439937046e-10,-1.607465544208836e-09,7.796427966046551e-10
-0.5015083926179995,0.9122906066093404,-1.0832210649540324,0.6669054731720317,-0.3552302107514495,0.07112825594675284,-0.3659674352849981,-1.233777466959932e-09,3.039946148766809e-11,-2.280420390331024e-10,1.0361348894144977e-09,-1.6651959474938285e-10,1.0976573336982172e-09,1.0544523079522844e-09,2.3186292363998844e-09,-3.25348783064148e-10,9.38828145383452e-10,-6.721149332954142e-10,5.920619951521858e-10,3.0809862874589467e-10,1.5722755571934946e-09,-1.4140368728579919e-10,1.1227732411618008e-09,-3.8068221081606806e-10,8.834947176315319e-10,3.942145080567804e-10,1.6583914365043803e-09,2.4210430359725235e-10,1.5062812320448523e-09,-5.901355571067425e-10,6.740413713408575e-10,2.1653474628989425e-10,1.4807116747374943e-09,1.7917330196198967e-10,1.4433502304095896e-09,-1.2715082154394474e-10,1.1370261069036553e-09
3.540730064055594,0.5823640387910043,0.08824671926005069,-1.141313824760124,0.6783978773556752,-0.8857867401671776,-0.14734670154659898,1.6926526508798356e-09,2.3378658466681374e-09,-2.280420390331024e-10,4.1717115675519965e-10,-1.6651959474938285e-10,4.786936010389192e-10,-5.519241177431873e-10,9.328907804511479e-11,9.837551918179763e-10,1.6289683876062784e-09,1.4011316364497892e-09,2.046344832238091e-09,-3.5354044503058887e-09,2.890191254517587e-09,-2.5067487382784597e-09,1.8615355424901577e-09,-2.803595697528488e-09,2.158382501740186e-09,-2.763617274872768e-09,2.118404079084466e-09,-1.6774348976702123e-09,1.0322217018819102e-09,-1.5519455122280892e-09,9.067323164397872e-10,-3.5409219751323854e-10,2.911209982750635e-10,-1.8828909354420943e-10,4.569241022440926e-10,-2.8143474469763086e-09,2.1691342511880068e-09
1.706571191522511,-0.4836698901832845,1.6508607210639386,0.6411628196719807,3.1476516391689984,0.3526850004024642,-0.9642058146070596,8.683657113996498e-09,1.1641579434078899e-08,-2.280420390331024e-10,2.7298802810492977e-09,-1.6651959474938285e-10,2.7914027253330173e-09,-1.4983787277913751e-09,1.459543592291025e-09,-7.105314323262964e-10,2.247390887756104e-09,2.683050437341293e-09,5.640972757423693e-09,-2.793334662447178e-09,1.6458765763522222e-10,1.026740137320979e-09,3.984662457403379e-09,-1.6823188476307294e-09,1.2756034724516707e-09,-1.8928960688939247e-09,1.0650262511884754e-09,-1.9108397579813056e-09,1.0470825621010945e-09,-6.029775170259305e-10,2.3549448030564696e-09,-9.457312991410162e-10,2.012191020941384e-09,-3.903785216648581e-10,2.567543798417542e-09,2.6368828106685505e-09,5.594805130750951e-09
