gamma1,lambda1,delta,epsilon,NRow,NCol,FValue
0.002,0.05,100,1,1.56800412536572e-06,7.3447045623995e-06,-2.38239625320803e-11
0.002,0.05,100,1,3.25042697477833e-05,6.95531720513434e-06,1.05661383254522e-10
0.002,0.05,100,1,3.11464505133104e-05,1.65210450356674e-06,1.22176331844028e-10
0.002,0.05,100,1,2.40281081777149e-05,2.03062777044954e-05,1.62186663824818e-11
0.002,0.05,100,1,8.50457163748392e-07,1.07738655913367e-05,-3.86237664168349e-11
0.002,0.05,100,1,3.70844743442457e-06,3.25042697477833e-05,-1.18333271866449e-10
0.002,0.05,100,1,1.02763852578131e-05,7.3447045623995e-06,1.21863678335329e-11
0.002,0.05,100,1,1.56800412536572e-06,1.95648639649775e-05,-7.24846546144857e-11
0.002,0.05,100,1,7.3447045623995e-06,3.70844743442457e-06,1.49767144271061e-11
0.002,0.05,100,1,1.12735810883374e-05,4.96580708054507e-06,2.59894456264808e-11
0.002,0.05,100,1,4.96580708054507e-06,2.98970019963204e-06,8.21856942528958e-12
0.002,0.05,100,1,1.02763852578131e-05,3.13531280096106e-06,2.95527446990437e-11
0.002,0.05,100,1,6.95531720513434e-06,1.02763852578131e-05,-1.39546589406566e-11
0.002,0.05,100,1,2.16755487914791e-05,7.62445456362653e-06,5.79893699400794e-11
0.002,0.05,100,1,6.90385479826729e-06,4.20658309673192e-06,1.1155978558477e-11
0.002,0.05,100,1,5.77701138285382e-05,1.65210450356674e-06,2.33315850492038e-10
0.002,0.05,100,1,8.18849051233882e-06,2.98970019963204e-06,2.16049488037475e-11
0.002,0.05,100,1,1.12735810883374e-05,3.70844743442457e-06,3.11450012204603e-11
0.002,0.05,100,1,2.3144795164725e-05,8.18849051233882e-06,6.18847757870867e-11
0.002,0.05,100,1,2.3144795164725e-05,2.16755487914791e-05,6.98860117415118e-12
0.002,0.05,100,1,1.5045081352852e-05,2.3144795164725e-05,-3.26031516804911e-11
0.002,0.05,100,1,6.90385479826729e-06,1.5045081352852e-05,-3.29285391202067e-11
0.002,0.05,100,1,4.08699448459176e-05,3.44074767537844e-05,2.92376770765308e-11
0.002,0.05,100,1,1.55971023433814e-05,1.12758491361188e-05,1.79468357425441e-11
0.002,0.05,100,1,9.58697568917699e-06,1.55971023433814e-05,-2.43467317463752e-11
0.002,0.05,100,1,1.04473985056992e-05,7.33504126841897e-06,1.28396754723971e-11
0.002,0.05,100,1,1.14524379838619e-05,2.12418592807451e-06,3.80332841597681e-11
0.002,0.05,100,1,9.6485404963322e-06,3.67188106774009e-06,2.46509344649161e-11
0.002,0.05,100,1,2.24349012180896e-05,8.20630136894018e-06,5.87886968627948e-11
0.002,0.05,100,1,7.33504126841897e-06,2.24349012180896e-05,-6.15961364841505e-11
0.002,0.05,100,1,2.30425812005948e-05,8.20630136894018e-06,6.12983130478898e-11
0.002,0.05,100,1,7.01804766297728e-06,9.6485404963322e-06,-1.00572659344447e-11
0.002,0.05,100,1,2.96730738382943e-05,2.03263887254272e-05,3.96039503122257e-11
