Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_16,3.2033605335858425e-22,0.022847770415689465,1.7897934332167617e-11,6.036046389803974e-22,0.04039269282662264,2.456836663232616e-11,3.6809939170885734e-22,0.02518717011078298,1.918591649384666e-11
Model_17,2.779248693170261e-22,0.01982281900644433,1.6671078828828868e-11,4.579471057851688e-22,0.03064541850782879,2.1399698731177706e-11,2.612445918057934e-22,0.017875639358673378,1.6163062575075102e-11
Model_18,2.6279992345760446e-22,0.018744041619626225,1.6211104942526418e-11,4.049376272500127e-22,0.027098070715759315,2.0123062074396447e-11,2.6759707018212365e-22,0.018310307160613815,1.635839448668859e-11
Model_19,2.4120285597223813e-22,0.017203644170184468,1.553070687290949e-11,4.1131986982962167e-22,0.02752516478928831,2.0281022405924748e-11,2.4350772827411705e-22,0.016661995954020816,1.560473416223798e-11
Model_20,2.3513779196836426e-22,0.01677105724010247,1.5334203336605534e-11,2.507282101052537e-22,0.016778511826645054,1.5834399581457256e-11,2.1022410970241015e-22,0.014384567135200452,1.449910720363189e-11
Model_21,2.334314165990467e-22,0.016649351074741456,1.527846250769516e-11,4.0906998881345773e-22,0.0273746047257741,2.0225478704185416e-11,2.52928512761575e-22,0.01730661234515657,1.590372637973802e-11
Model_22,2.1322703741609384e-22,0.015208286255081901,1.4602295621445753e-11,3.2986664109718904e-22,0.022074386191092955,1.8162231170679143e-11,2.081790751222341e-22,0.014244635814982276,1.4428412079027758e-11
Model_23,2.0826343515663593e-22,0.014854260401076813,1.4431335182741614e-11,2.2932405392408e-22,0.015346164475405951,1.5143449208290692e-11,1.9387990202493602e-22,0.013266216090969155,1.3924076343691025e-11
Model_24,2.0040600705884475e-22,0.014293834213159837,1.4156482863297817e-11,4.520578456293625e-22,0.030251314385548716,2.1261651996713766e-11,2.3083136648694017e-22,0.015794616958263105,1.5193135505449167e-11
Model_25,1.7494323256812416e-22,0.012477717608079399,1.3226610774046545e-11,3.173727792979764e-22,0.021238307921836546,1.7814959424539154e-11,1.9688096417450436e-22,0.01347156351771523,1.403142773115068e-11
Model_26,1.682774607951645e-22,0.012002285568771968,1.2972180263747667e-11,2.5390994502823253e-22,0.01699143073597735,1.593455192430062e-11,1.923821331255152e-22,0.013163731379214482,1.3870188647798385e-11
Model_27,1.682707128288227e-22,0.012001804274255994,1.2971920167377793e-11,3.8644082937303573e-22,0.02586028123126677,1.9658098315275458e-11,2.163851796952645e-22,0.01480613783450006,1.471003669931739e-11
Model_28,1.505910244791659e-22,0.010740811463116732,1.2271553466418419e-11,2.409893364249836e-22,0.01612679494503042,1.552383124183536e-11,1.7597990484225774e-22,0.012041410279882004,1.3265741775048154e-11
