gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals,Model_19_Y_pred,Model_19_Residuals,Model_20_Y_pred,Model_20_Residuals
2.917292212132508,0.0536489688886692,0.23183548029987866,-0.20223351370353895,-0.470812038306053,1.245389080002379,-0.528194298050576,1.2555720586256013e-06,1.2555700759917382e-06,1.1398019814040008e-06,1.1397999987701377e-06,1.0577579379276148e-06,1.0577559552937517e-06,7.355811550748283e-07,7.355791724409652e-07,-1.5526568328093045e-06,1.5526588154431676e-06,1.224246964320746e-06,1.2242449816868828e-06,-8.027059005616779e-07,8.02707883195541e-07,-3.734495304581199e-07,3.73451513091983e-07,-2.97545823542629e-07,2.975478061764921e-07,1.0113332208926852e-07,1.011313394554054e-07,1.1398019814040008e-06,1.1397999987701377e-06,7.719225304619065e-08,7.719027041232753e-08,1.512593230010538e-08,1.512394966624226e-08,1.1068821954930721e-06,1.106880212859209e-06,-1.5835242254533827e-07,1.583544051792014e-07,1.1002039480961982e-06,1.100201965462335e-06,1.1039605506542484e-06,1.1039585680203853e-06,-4.4979055361552217e-07,4.497925362493853e-07,-1.222648766452203e-08,1.222847029838515e-08,-2.06197901753397e-08,2.062177280920282e-08
-0.26918000793969366,-0.5104879848180407,-0.21093903290739802,-1.367823018359838,1.2063836343427812,0.8555288227871655,-0.3773210851115487,3.821075519190194e-08,2.873632537910301e-07,1.1398019814040008e-06,8.142279724210688e-07,1.0577579379276148e-06,7.321839289446828e-07,1.7020129941191967e-06,1.3764389851362647e-06,1.1612745194041997e-06,8.357005104212677e-07,1.1398019814048339e-06,8.142279724219018e-07,1.16012428280451e-06,8.345502738215781e-07,1.163369000558543e-06,8.37794991575611e-07,1.2883541073801584e-06,9.627800983972264e-07,1.1606432065283116e-06,8.350691975453796e-07,1.1398223675910194e-06,8.142483586080873e-07,2.2569161986587276e-07,9.988238911705927e-08,1.0835991875634114e-06,7.580251785804794e-07,1.1851895752555268e-06,8.596155662725948e-07,7.547076067717518e-07,4.291335977888198e-07,1.1194859843867802e-06,7.939119754038482e-07,1.1853109836344686e-06,8.597369746515366e-07,1.7216125936251654e-07,1.534127496204155e-07,6.246539671182603e-08,2.63108612271106e-07,1.7880058434624323e-07,1.467734246366888e-07
-0.5567288955587838,1.450272924618088,0.2190893046434231,1.4443840468756457,1.1236265914244057,1.094364106166653,-0.4900493950534157,4.26937207293456e-06,4.187056516394817e-06,1.1398019814040008e-06,1.057486424864258e-06,1.0577579379276148e-06,9.75442381387872e-07,2.2031452421356774e-06,2.1208296855959344e-06,1.1982696530499779e-06,1.115954096510235e-06,1.1398019818513312e-06,1.0574864253115883e-06,1.1936828832493876e-06,1.1113673267096448e-06,1.206402257493211e-06,1.1240867009534681e-06,1.4976459244676664e-06,1.4153303679279235e-06,1.197363885740668e-06,1.115048329200925e-06,1.2156702455964076e-06,1.1333546890566647e-06,9.748811156955193e-07,8.925655591557764e-07,1.1711177720539894e-06,1.0888022155142466e-06,5.931249270377323e-07,5.108093704979895e-07,1.2176197922229564e-06,1.1353042356832136e-06,8.169497612986629e-07,7.3463420475892e-07,7.934613673743576e-07,7.111458108346147e-07,1.1404613471304784e-06,1.0581457905907356e-06,5.26927119610535e-07,4.446115630707921e-07,-9.484054213020191e-08,1.771560986699448e-07
-0.40132964545664573,-0.7685434516399499,1.2344149152216948,-0.5768866779976944,0.4014229929545065,1.656617580757967,-0.444476336864993,-5.186517892388132e-07,6.993102696965682e-07,1.1398019814040008e-06,9.591435009462458e-07,1.0577579379276148e-06,8.770994574698598e-07,1.9486081469990313e-06,1.7679496665412763e-06,1.3534677675195015e-06,1.1728092870617465e-06,1.1611539442559414e-06,9.804954637981864e-07,1.3274281413801044e-06,1.1467696609223495e-06,1.4781802469428517e-06,1.2975217664850967e-06,1.588381576622652e-06,1.407723096164897e-06,1.363137278542558e-06,1.182478798084803e-06,1.1454130501564345e-06,9.647545696986795e-07,3.25315045288835e-07,1.4465656483107998e-07,8.575165179426419e-07,6.768580374848869e-07,1.2421668481488533e-06,1.0615083676910983e-06,5.83575674164608e-07,4.02917193706853e-07,1.2090693055555955e-06,1.0284108250978405e-06,1.2439181621282676e-06,1.0632596816705126e-06,3.905607763140048e-07,2.0990229585624978e-07,2.3546465057373215e-07,5.4806170115977156e-08,3.1545490703091966e-07,1.3479642657316466e-07
-0.41973473433554476,-0.3119857364799539,-1.137133570703603,0.25108091997621307,-0.29768560948274636,1.1795697835094474,-0.5276543556597814,4.6656233574977574e-07,4.653952016959992e-07,1.1398019814040008e-06,1.1386348473502243e-06,1.0577579379276148e-06,1.0565908038738383e-06,1.980832869159506e-06,1.9796657351057294e-06,1.517365801041278e-06,1.5161986669875015e-06,1.4388467312167956e-06,1.4376795971630191e-06,1.5981081249252355e-06,1.596940990871459e-06,2.1044102829016763e-06,2.1032431488478997e-06,1.9200855266985466e-06,1.91891839264477e-06,1.7444895235849304e-06,1.743322389531154e-06,1.1595928718410404e-06,1.1584257377872638e-06,3.4962096821486764e-07,3.484538341610911e-07,5.790468143573186e-07,5.778796803035421e-07,1.2411986794412936e-06,1.2400315453875171e-06,3.8299608492836564e-07,3.8182895087458913e-07,1.263340190909884e-06,1.2621730568561075e-06,1.2461508922668852e-06,1.2449837582131087e-06,4.856738076327126e-07,4.84506673578936e-07,3.6785574861714704e-07,3.666886145633705e-07,3.289335202784985e-07,3.2776638622472197e-07
-0.5205703993656191,0.47633266747275016,1.452695924718461,-0.38195564680843525,-1.1311692194535192,-0.5353715040861797,0.6042556019410269,2.167688832518078e-06,2.760472066581318e-07,1.1398019814040008e-06,1.3039340577722091e-06,1.0577579379276148e-06,1.385978101248595e-06,2.147513401518269e-06,2.9622263765794097e-07,1.5870020208129004e-06,8.567340183633095e-07,2.1172668965613137e-06,3.264691426148962e-07,2.558284244864153e-06,1.1454820568794298e-07,3.2295041937938986e-06,7.857681546176887e-07,2.8947994921647226e-06,4.5106345298851264e-07,2.915930819051067e-06,4.7219477987485726e-07,1.5993161036261322e-06,8.444199355500777e-07,6.424826677566438e-07,1.801253371419566e-06,9.462388861207456e-07,1.4974971530554644e-06,1.7386992264956484e-06,7.050368126805615e-07,7.438492272631626e-07,1.6998868119130474e-06,1.723701069575791e-06,7.200349696004189e-07,1.6911253419944494e-06,7.526106971817605e-07,9.945113280697809e-07,1.449224711106429e-06,1.0165681003757705e-06,1.4271679388004394e-06,1.1332627678894568e-06,1.3104732712867532e-06
-0.5825440759729782,-0.8658187141973471,0.9283564056315199,0.0107425482652282,-1.5857301543468822,-1.2583571367277393,0.9216488606607106,-7.285638321224524e-07,3.857208506688182e-06,1.1398019814040008e-06,1.988842693161729e-06,1.0577579379276148e-06,2.070886736638115e-06,2.2415202272699022e-06,8.871244472958277e-07,1.5866839569543158e-06,1.5419607176114141e-06,2.732810229318425e-06,3.958344452473048e-07,5.281485292275333e-06,2.152840617709603e-06,3.997228823109421e-06,8.685841485436911e-07,3.8710808278274115e-06,7.424361532616816e-07,4.3641626387713665e-06,1.2355179642056365e-06,3.76347676914038e-06,6.3483209457465e-07,1.6048498144832858e-06,1.5237948600824442e-06,2.9771327568464947e-06,1.5151191771923524e-07,2.94797472922533e-06,1.8066994534040004e-07,2.5960257550950017e-06,5.326189194707283e-07,3.0676046219405935e-06,6.104005262513652e-08,2.8447528336531206e-06,2.838918409126094e-07,3.0728631009100164e-06,5.578157365571354e-08,2.9372235305786065e-06,1.9142114398712343e-07,2.966426368161016e-06,1.6221830640471406e-07
-0.5015083926179995,0.9122906066093404,-1.0832210649540324,0.6669054731720317,1.6806234305228354,0.17065068440122116,-0.032616812834440095,3.1084503294249176e-06,2.0390327564967176e-06,1.1398019814040008e-06,7.038440847580083e-08,1.0577579379276148e-06,1.1659635000585127e-08,2.117301489987569e-06,1.0478839170593691e-06,1.1448840755597052e-06,7.546650263150519e-08,1.1398019814040008e-06,7.038440847580083e-08,1.1448245567555046e-06,7.540698382730468e-08,1.1449860741737408e-06,7.556850124554082e-08,1.3294845983054119e-06,2.600670253772119e-07,1.144861274386262e-06,7.544370145806205e-08,1.1415822997398944e-06,7.216472681169439e-08,5.48913003619556e-07,5.20504569308644e-07,1.1372396222497462e-06,6.782204932154626e-08,8.767223223147961e-07,1.926952506134039e-07,1.0185968946777482e-06,5.082067825045181e-08,9.320726987321012e-07,1.373448741960988e-07,9.732051080281536e-07,9.621246490004633e-08,1.1382200458812566e-06,6.880247295305664e-08,1.2938276807739376e-07,9.400348048508062e-07,-1.8276475929061947e-08,1.087694048857262e-06
3.540730064055594,0.5823640387910043,0.08824671926005069,-1.141313824760124,0.3598710911887956,-0.5051741580267598,-0.5161882844270909,2.3964958403638345e-06,2.3705858644710733e-06,1.1398019814040008e-06,1.1138920055112396e-06,1.0577579379276148e-06,1.0318479620348536e-06,8.929435266105624e-07,8.670335507178012e-07,-8.540984499665249e-07,8.800084258592861e-07,1.2564598089328624e-06,1.2305498330401012e-06,-1.4789475621976432e-06,1.5048575380904044e-06,-7.30991867941999e-08,9.90091626869611e-08,-1.748521720589653e-07,2.007621479517265e-07,3.1660814454846915e-07,2.9069816865570795e-07,1.1398019814040008e-06,1.1138920055112396e-06,7.474249932767597e-08,4.883252343491477e-08,6.367428580996272e-07,6.10832882206866e-07,1.1056465178313668e-06,1.0797365419386056e-06,2.700691001292622e-07,2.44159124236501e-07,1.0748871019829684e-06,1.0489771260902072e-06,1.102670114059969e-06,1.0767601381672077e-06,-5.029169775785347e-07,5.288269534712959e-07,-2.223789056743477e-08,4.814786646019597e-08,-2.3878693690492996e-08,4.9788669583254196e-08
1.706571191522511,-0.4836698901832845,1.6508607210639386,0.6411628196719807,1.3865484467525815,-0.8770369430817254,-0.5281773777638207,9.6082005117409e-08,9.604350989169443e-08,1.1398019814040008e-06,1.1397634861782862e-06,1.0577579379276148e-06,1.0577194427019003e-06,1.7156887229460222e-07,1.7153037706888765e-07,1.0706666453901836e-06,1.070628150164469e-06,1.1398019814040008e-06,1.1397634861782862e-06,1.069371275674743e-06,1.0693327804490285e-06,1.0694678548022816e-06,1.069429359576567e-06,5.771877545268978e-07,5.771492593011832e-07,1.0753151582608305e-06,1.075276663035116e-06,1.1398019814040008e-06,1.1397634861782862e-06,8.570023453253605e-08,8.566173930682148e-08,1.1019244902151505e-06,1.101885994989436e-06,1.0870169815283444e-06,1.0869784863026299e-06,7.232096776600142e-07,7.231711824342996e-07,1.1023098005215133e-06,1.1022713052957987e-06,1.088846246275299e-06,1.0888077510495844e-06,1.1056273671951665e-06,1.1055888719694519e-06,-2.4399589241815014e-08,2.4438084467529587e-08,-4.196578721014301e-08,4.2004282435857586e-08
