gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals,Model_19_Y_pred,Model_19_Residuals,Model_20_Y_pred,Model_20_Residuals,Model_21_Y_pred,Model_21_Residuals,Model_22_Y_pred,Model_22_Residuals
2.917292212132508,0.0536489688886692,0.23183548029987866,-0.20223351370353895,-0.4708120383058116,1.245389080002181,-0.48673503835967913,3.1357830688199204e-06,6.510743455018704e-07,3.1357830688199204e-06,6.510743455018704e-07,3.1277032897097138e-06,6.429945663916638e-07,3.484814242153883e-06,1.000105518835833e-06,2.1249093403055402e-06,3.5979938301250974e-07,2.2828298301623334e-06,2.0187889315571654e-07,2.039931346217335e-06,4.4477737710071513e-07,2.444390510700818e-06,4.031821261723191e-08,2.626709736970748e-06,1.4200101365269802e-07,2.768795849813861e-06,2.840871264958112e-07,2.5984831764828085e-06,1.1377445316475855e-07,2.792317351702443e-06,3.0760862838439307e-07,2.3753264453409664e-06,1.0938227797708357e-07,2.6982801761278865e-06,2.135714528098365e-07,2.5985321010559623e-06,1.138233777379123e-07,2.714080722457476e-06,2.293719991394259e-07,2.718192723937996e-06,2.334840006199459e-07,2.580856458072888e-06,9.614773475483803e-08,2.703257237601545e-06,2.1854851428349485e-07,2.797804515271163e-06,3.130957919531129e-07,2.8246259803116216e-06,3.399172569935716e-07,2.715951038987523e-06,2.3124231566947311e-07
-0.26918000793969366,-0.5104879848180407,-0.21093903290739802,-1.367823018359838,1.2063836343436785,0.8555288227861443,-0.11354798108135233,2.4560903077807977e-06,4.782477824470524e-07,2.4560903077807977e-06,4.782477824470524e-07,2.532972123800481e-06,4.0136596642736886e-07,2.8689577382990532e-06,6.538035192879685e-08,2.5493641310666116e-06,3.8497395916123844e-07,2.588810765880342e-06,3.455273243475079e-07,2.6249981706924306e-06,3.093399195354195e-07,2.973950013782463e-06,3.961192355461278e-08,3.0112720488677803e-06,7.693395863993021e-08,2.9442341712959763e-06,9.896081068126199e-09,2.816303554802107e-06,1.1803453542574289e-07,2.9641135011406696e-06,2.9775410912819527e-08,2.846494491308238e-06,8.784359891961202e-08,2.946848327041397e-06,1.2510236813546936e-08,2.946838593101269e-06,1.250050287341909e-08,2.7601077045361406e-06,1.742303856917095e-07,2.929272091021329e-06,5.065999206521214e-09,2.7628566636746747e-06,1.7148142655317534e-07,2.7393748905047268e-06,1.949631997231233e-07,3.0822332586128805e-06,1.478951683850304e-07,2.845753971108662e-06,8.85841191191881e-08,2.7447982364479003e-06,1.8953985377994972e-07
-0.5567288955587838,1.450272924618088,0.2190893046434231,1.4443840468756457,1.1236265914245585,1.0943641061665488,1.7123441345035135,4.8184865087662255e-06,3.157529445030749e-07,4.8184865087662255e-06,3.157529445030749e-07,4.600068799662731e-06,5.341706536065697e-07,4.314364045273487e-06,8.198754079958132e-07,5.011399173491647e-06,1.2284027977765334e-07,5.083992494670347e-06,5.024695859895335e-08,5.198738053749459e-06,6.449860048015839e-08,4.5164658153670965e-06,6.177736379022038e-07,4.58682978784606e-06,5.474096654232402e-07,4.718386299742165e-06,4.158531535271352e-07,4.815135235194388e-06,3.1910421807491233e-07,4.7418183567566115e-06,3.9242109651268884e-07,4.921115808866028e-06,2.1312364440327273e-07,4.865631560049944e-06,2.686078932193561e-07,4.934512980182631e-06,1.99726473086669e-07,5.075600305775397e-06,5.863914749390362e-08,4.934102615820515e-06,2.001368374487857e-07,5.152839918147341e-06,1.8600464878040398e-08,5.13154432096115e-06,2.695132308150283e-09,4.9445240163340805e-06,1.8971543693521982e-07,5.051090389282521e-06,8.314906398677971e-08,4.98914618346612e-06,1.4509326980318008e-07
-0.40132964545664573,-0.7685434516399499,1.2344149152216948,-0.5768866779976944,0.4014229929551049,1.6566175807580887,-0.3550350971297242,2.145175676869008e-06,4.982099352702919e-07,2.145175676869008e-06,4.982099352702919e-07,2.260921821752665e-06,3.8246379038663484e-07,2.4302284801209114e-06,2.131571320183885e-07,2.2842407980724667e-06,3.5914481406683325e-07,2.2940213350501896e-06,3.493642770891103e-07,2.396499367046334e-06,2.468862450929658e-07,2.5863059689182296e-06,5.707964322107031e-08,2.591376234721315e-06,5.200937741798505e-08,2.5420360594145413e-06,1.0134955272475861e-07,2.389771401385425e-06,2.536142107538751e-07,2.5707303316264904e-06,7.265528051280957e-08,2.486378326175836e-06,1.5700728596346398e-07,2.5291372206900138e-06,1.1424839144928617e-07,2.539533272316772e-06,1.0385233982252784e-07,2.3242176497676195e-06,3.191679623716805e-07,2.615580499207903e-06,2.7805112931396885e-08,2.3429534161338433e-06,3.004321960054566e-07,2.4284979492906003e-06,2.1488766284869967e-07,2.6466963438487236e-06,3.3107317094236563e-09,2.528590348039603e-06,1.1479526409969696e-07,2.4264935500543627e-06,2.1689206208493728e-07
-0.41973473433554476,-0.3119857364799539,-1.137133570703603,0.25108091997621307,-0.2976856094824688,1.179569783510034,-0.06781118261559536,2.695253050726249e-06,2.941904011093112e-07,2.695253050726249e-06,2.941904011093112e-07,2.742239523877751e-06,2.472039279578091e-07,3.12304093890094e-06,1.335974870653797e-07,2.840695736968025e-06,1.4874771486753498e-07,2.823356388890045e-06,1.660870629455152e-07,2.858379763721643e-06,1.3106368811391735e-07,3.2803759339950852e-06,2.90932482159525e-07,3.2583778125880577e-06,2.689343607524975e-07,3.2424451769598476e-06,2.5300172512428743e-07,3.1120213625152957e-06,1.225779106797355e-07,3.2728312040627723e-06,2.833877522272121e-07,3.142469316420701e-06,1.530258645851408e-07,3.2594596068425073e-06,2.7001615500694716e-07,3.2713398316265648e-06,2.8189637979100457e-07,3.123926895113207e-06,1.3448344327764673e-07,3.147297329037788e-06,1.5785387720222793e-07,3.138262160616046e-06,1.4881870878048565e-07,2.996169752527425e-06,6.726300691864962e-09,3.1034175966944803e-06,1.1397414485892011e-07,3.0058743561565876e-06,1.643090432102744e-08,2.9972855355620977e-06,7.842083726537463e-09
-0.5205703993656191,0.47633266747275016,1.452695924718461,-0.38195564680843525,-1.1311692194535832,-0.5353715040859935,0.8112226411553302,3.6450477930134796e-06,4.034876449078907e-07,3.6450477930134796e-06,4.034876449078907e-07,3.573309923379078e-06,4.7522551454229223e-07,3.8007815412414264e-06,2.4775389667994387e-07,3.825431142467621e-06,2.2310429545374925e-07,3.7762295520887466e-06,2.7230588583262363e-07,3.7560857087056968e-06,2.9244972921567346e-07,3.991289847907621e-06,5.724559001374952e-08,3.936492938600821e-06,1.1204249932054951e-07,3.910648124577134e-06,1.378873133442359e-07,4.026620047695152e-06,2.191539022621781e-08,3.858494811374076e-06,1.900406265472939e-07,4.003877081261286e-06,4.4658356660084196e-08,3.911666064308765e-06,1.368693736126048e-07,3.8964682543735484e-06,1.520671835478218e-07,4.0094314549499865e-06,3.9103982971383755e-08,4.006808201239125e-06,4.1727236682245304e-08,3.996725449628336e-06,5.18099882930339e-08,4.121434992909501e-06,7.289955498813047e-08,4.135388360441524e-06,8.68529225201537e-08,4.172859483337829e-06,1.2432404541645868e-07,4.106998846780539e-06,5.846340885916901e-08
-0.5825440759729782,-0.8658187141973471,0.9283564056315199,0.0107425482652282,-1.5857301543471651,-1.2583571367278825,-0.8350027546930341,2.027974895473615e-06,3.7128191057034875e-08,2.027974895473615e-06,3.7128191057034875e-08,2.1583711380316965e-06,9.326805150104652e-08,2.2121205660825224e-06,1.4701747955187247e-07,2.229832803177796e-06,1.6472971664714598e-07,2.1620288501423075e-06,9.692576361165757e-08,2.1307966589289465e-06,6.569357239829653e-08,2.435559194695121e-06,3.7045610816447105e-07,2.3595641209945028e-06,2.944610344638528e-07,2.3354841563694614e-06,2.7038106983881146e-07,2.1914137722321517e-06,1.2631068570150175e-07,2.281128054347249e-06,2.1602496781659923e-07,2.160894328599469e-06,9.579124206881909e-08,2.2186153237095367e-06,1.535122371788867e-07,2.207364286945768e-06,1.422612004151179e-07,2.0397628789981125e-06,2.53402075325375e-08,2.2157206175867723e-06,1.5061753105612234e-07,2.0411520447812263e-06,2.3951041749423693e-08,2.0622058638872028e-06,2.8972226434471894e-09,2.1650134032854764e-06,9.991031675482646e-08,2.1566065100893365e-06,9.150342355868654e-08,2.0345022075241387e-06,3.060087900651123e-08
-0.5015083926179995,0.9122906066093404,-1.0832210649540324,0.6669054731720317,1.680623430523875,0.1706506844016765,0.9568100320014443,4.170305805986563e-06,5.3638626163047e-08,4.170305805986563e-06,5.3638626163047e-08,4.032910684730526e-06,1.9103374741908403e-07,4.057937824811485e-06,1.6600660733812509e-07,4.344083961160271e-06,1.201395290106604e-07,4.477121474249753e-06,2.531770421001429e-07,4.453887843665978e-06,2.2994341151636753e-07,4.240858388535894e-06,1.691395638628346e-08,4.3745810328484655e-06,1.506366006988552e-07,4.379448881059061e-06,1.5550444890945046e-07,4.551553187852128e-06,3.2760875570251784e-07,4.425980278090734e-06,2.0203584594112332e-07,4.518591851543445e-06,2.946474193938346e-07,4.496582400075028e-06,2.726379679254173e-07,4.491761051337543e-06,2.678166191879325e-07,4.673374540592897e-06,4.494301084432869e-07,4.198197207190563e-06,2.574722495904693e-08,4.672788226316627e-06,4.4884379416701635e-07,4.3358117407609785e-06,1.118673086113682e-07,4.236622781693815e-06,1.2678349544204294e-08,4.552694621971807e-06,3.2875018982219686e-07,4.327039472954385e-06,1.0309504080477503e-07
3.540730064055594,0.5823640387910043,0.08824671926005069,-1.141313824760124,0.3598710911893904,-0.5051741580265583,0.11031428675807307,3.772798253348572e-06,5.687427444682218e-07,3.772798253348572e-06,5.687427444682218e-07,3.6850915761722836e-06,4.810360672919335e-07,3.86855901480009e-06,6.645035059197398e-07,2.5458964755186227e-06,6.581590333617274e-07,2.4761923340789664e-06,7.278631748013837e-07,2.739193366757822e-06,4.6486214212252806e-07,2.603304996294676e-06,6.00750512585674e-07,2.5570770100693973e-06,6.469784988109528e-07,3.0179284346823002e-06,1.8612707419804982e-07,2.6791548304927444e-06,5.249006783876056e-07,3.087642386678413e-06,1.1641312220193712e-07,2.964699265524228e-06,2.3935624335612227e-07,2.6823370205796947e-06,5.217184883006554e-07,2.8031108355493834e-06,4.009446733309667e-07,2.845531007097233e-06,3.58524501783117e-07,2.691729208941201e-06,5.12326299939149e-07,2.9271909031061924e-06,2.768646057741577e-07,2.835790134233957e-06,3.682653746463932e-07,2.96292439368119e-06,2.411311151991599e-07,3.2281109546138894e-06,2.4055445733539385e-08,2.871436575498808e-06,3.3261893338154214e-07
1.706571191522511,-0.4836698901832845,1.6508607210639386,0.6411628196719807,1.3865484467536282,-0.877036943081721,-1.2421212656518656,2.488401725546177e-06,9.138098579058371e-07,2.488401725546177e-06,9.138098579058371e-07,2.5612446143451884e-06,9.866527467048484e-07,2.9065794063762096e-06,1.3319875387358696e-06,1.897056101623046e-06,3.2246423398270607e-07,1.5799929892110255e-06,5.401121570685615e-09,1.8962790540342076e-06,3.216871863938677e-07,2.3032125607533956e-06,7.286206931130557e-07,1.9866302623858087e-06,4.120383947454688e-07,1.9743223683855505e-06,3.9973050074521054e-07,1.8039062326675487e-06,2.293143650272088e-07,1.7615141284077108e-06,1.869222607673709e-07,2.139358592384165e-06,5.64766724743825e-07,1.8814370289802411e-06,3.068451613399012e-07,2.0109652232320303e-06,4.363733555916904e-07,1.7210513177901621e-06,1.464594501498222e-07,2.1977652227050836e-06,6.231733550647436e-07,1.8326138098223837e-06,2.5802194218204377e-07,2.0846537563083277e-06,5.100618886679878e-07,2.1077757908675845e-06,5.331839232272446e-07,1.888803428842226e-06,3.1421156120188607e-07,2.0282108207112665e-06,4.5361895307092654e-07
