gamma1,lambda1,delta,epsilon,NRow,NCol,FValue,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals,Model_19_Y_pred,Model_19_Residuals,Model_20_Y_pred,Model_20_Residuals,Model_21_Y_pred,Model_21_Residuals,Model_22_Y_pred,Model_22_Residuals,Model_23_Y_pred,Model_23_Residuals,Model_24_Y_pred,Model_24_Residuals
2.917292212132508,0.0536489688886692,0.23183548029987866,-0.20223351370353895,-0.2955423253097415,0.10784970872758336,-0.816815055522948,-1.0647878394173403e-09,1.47583858726021e-09,-2.280420390331024e-10,2.312584387644448e-09,-1.56157323876009e-10,2.384469102801541e-09,-7.583859626347842e-10,1.782240464042766e-09,-3.7558542894602317e-10,2.165040997731527e-09,-6.481942866583778e-10,1.8924321400191727e-09,-4.000000657153336e-09,1.4593742304757857e-09,-3.686694743992082e-09,1.1460683173145316e-09,-4.049789511761854e-09,1.5091630850843035e-09,-1.896300273442503e-09,6.443261532350471e-10,-1.962879805816149e-09,5.777466208614013e-10,-3.3619008528056167e-09,8.212744261280665e-10,-3.3041950591587757e-09,7.635686324812254e-10,-2.0830451498833416e-10,2.3323219116892162e-09,-3.559842015183316e-09,1.0192155885057658e-09,-3.4540867590990213e-09,9.13460332421471e-10,-2.6124031981629534e-09,7.177677148540319e-11,-2.6767357141567845e-09,1.361092874792343e-10,-2.61048118145369e-09,6.98547547761396e-11,-2.4337292422984334e-09,1.0689718437911687e-10,-2.3075016529338957e-09,2.331247737436545e-10,-2.3351557075782192e-09,2.0547071909933102e-10,-2.2106545918295283e-09,3.2997183484802196e-10,-3.15173528757188e-09,6.111088608943297e-10
-0.26918000793969366,-0.5104879848180407,-0.21093903290739802,-1.367823018359838,3.551153768846248,0.1839839342919986,-0.18246612585926034,9.826061039050835e-09,1.0570705105780326e-08,-2.280420390331024e-10,5.166020276963876e-10,-1.56157323876009e-10,5.88486742853481e-10,5.095874321724329e-10,1.2542314989019229e-09,-4.797405709551904e-10,2.649034957742995e-10,3.279027646911894e-09,4.023671713641384e-09,-1.218136131832291e-10,6.228304535462609e-10,3.5593916001107993e-09,4.3040356668402895e-09,3.957002304324215e-09,4.701646371053705e-09,3.975667235739385e-09,4.720311302468875e-09,4.382859007351525e-09,5.127503074081014e-09,4.286845902526671e-09,5.03148996925616e-09,4.100020333845768e-09,4.844664400575258e-09,1.5630761487090552e-09,2.3077202154385453e-09,5.068850851968582e-09,5.8134949186980714e-09,4.001489953113341e-09,4.746134019842831e-09,2.7590083272120185e-09,3.5036523939415087e-09,3.0409911147775657e-09,3.785635181507056e-09,1.5491142146686522e-09,2.293758281398142e-09,1.3166102529639647e-09,2.0612543196934546e-09,2.948896155987408e-09,3.693540222716898e-09,2.7348396564616135e-09,3.4794837231911033e-09,2.819923399513794e-09,3.564567466243284e-09,2.3940474592914357e-09,3.138691526020926e-09
-0.5567288955587838,1.450272924618088,0.2190893046434231,1.4443840468756457,0.445240565815737,-0.1536368091690367,0.25362861102958767,1.0325326458840834e-09,5.424958956477434e-10,-2.280420390331024e-10,7.180787892694424e-10,-1.56157323876009e-10,6.46194074112349e-10,1.1670806273398754e-09,6.770438771035354e-10,-1.785977792508842e-11,5.078965281614285e-10,3.9571761391159547e-10,9.43191363247446e-11,6.576916263822853e-10,1.6765487614594525e-10,9.755775939064335e-10,4.855408436700934e-10,1.1019354645532066e-09,6.118987143168666e-10,1.285581489124583e-09,7.955447388882429e-10,1.4538712784095645e-09,9.638345281732244e-10,2.014790023729238e-09,1.5247532734928978e-09,1.9102113942551506e-09,1.4201746440188105e-09,1.8342028766849903e-09,1.3441661264486502e-09,2.332872465909977e-09,1.842835715673637e-09,2.1852670519171364e-09,1.6952303016807963e-09,1.628620174083027e-09,1.138583423846687e-09,1.6563432314309536e-09,1.1663064811946135e-09,1.5154914050617733e-09,1.0254546548254332e-09,1.6506281630352993e-09,1.1605914127989593e-09,1.8235319340326328e-09,1.3334951837962927e-09,1.864909821160969e-09,1.374873070924629e-09,1.8943834318918444e-09,1.4043466816555043e-09,1.7381367165678182e-09,1.2480999663314781e-09
-0.40132964545664573,-0.7685434516399499,1.2344149152216948,-0.5768866779976944,0.9513713323700332,0.656825822892271,-0.3762735969432821,2.4655009793223232e-09,3.758856934755693e-09,-2.280420390331024e-10,1.0653139164002678e-09,-1.56157323876009e-10,1.1371986315573611e-09,8.331240547336583e-10,2.1264800101670286e-09,-1.1266101449206602e-09,1.6674581051270993e-10,7.874130667759404e-11,1.3720972621109641e-09,-5.466125502972758e-10,7.467434051360943e-10,4.967454771854891e-10,1.7901014326188592e-09,5.72834803675684e-10,1.866190759109054e-09,6.222891630022927e-10,1.9156451184356628e-09,7.098379717786093e-10,2.0031939272119794e-09,1.112697704554197e-09,2.4060536599875672e-09,1.0541917860999904e-09,2.3475477415333605e-09,3.558699024779543e-10,1.6492258579113244e-09,1.6104796293114656e-09,2.9038355847448357e-09,1.662915928754032e-09,2.956271884187402e-09,2.585514436760976e-10,1.5519073991094678e-09,2.5832249120188575e-10,1.5516784466352558e-09,-3.5697542243377025e-10,9.363805329995998e-10,5.269900343486196e-10,1.8203459897819897e-09,4.63834668585041e-10,1.757190624018411e-09,1.8586884739677674e-10,1.4792248028301468e-09,1.1835196313435591e-09,2.4768755867769294e-09,-5.489476634673581e-10,7.44408291966012e-10
-0.41973473433554476,-0.3119857364799539,-1.137133570703603,0.25108091997621307,-0.4992500870910152,0.19801555750298666,-0.5357079244950609,-1.6415296444955559e-09,1.0322021492845405e-10,-2.280420390331024e-10,1.5167078203909076e-09,-1.56157323876009e-10,1.588592535548001e-09,8.754033844326258e-10,2.620153243856636e-09,-4.989364805126218e-10,1.2458133789113882e-09,-9.542778172561043e-10,7.904720421679056e-10,4.84129444799736e-11,1.7931628039039836e-09,-5.171038595245554e-10,1.2276459998994545e-09,-5.474500213210162e-10,1.1972998381029937e-09,-5.698890675112534e-10,1.1748607919127565e-09,-6.053962152275906e-10,1.1393536441964195e-09,-5.288333453524611e-11,1.6918665248887639e-09,-6.058525421667459e-11,1.6841646052073353e-09,2.711800596804457e-11,1.7718678653920546e-09,-1.2312484217323708e-10,1.6216250172507729e-09,-1.1251344607122778e-10,1.632236413352782e-09,-6.636519374459697e-10,1.0810979219780403e-09,-7.549759025115651e-10,9.897739569124448e-10,-6.379155472912538e-10,1.1068343121327561e-09,-1.4221698698150096e-09,3.225799896090003e-10,-7.670556614479045e-10,9.776941979761054e-10,-8.025369371735886e-10,9.422129222504213e-10,-1.3028295422666386e-09,4.419203171573713e-10,-1.663220245195974e-09,8.152961422803604e-11
-0.5205703993656191,0.47633266747275016,1.452695924718461,-0.38195564680843525,0.1951067124662578,-0.6112085391818017,1.105410869118559,3.2434828987094897e-10,2.577272745461551e-09,-2.280420390331024e-10,3.1296630743656024e-09,-1.56157323876009e-10,3.0577783592085092e-09,1.0940907992348947e-09,1.8075302360976054e-09,6.081195128018831e-10,2.293501522530617e-09,6.117741613114134e-10,2.289846874021087e-09,1.1831391328727664e-09,1.7184819024597337e-09,1.1539733246206584e-09,1.7476477107118416e-09,1.2990594579582553e-09,1.6025615773742447e-09,1.4813303562412444e-09,1.4202906790912556e-09,1.6679159341739588e-09,1.2337051011585413e-09,2.151959863608913e-09,7.496611717235868e-10,2.0427273308056474e-09,8.588937045268527e-10,2.066064724025057e-09,8.355563113074432e-10,2.205279597744798e-09,6.963414375877022e-10,3.4016103316755985e-09,4.999892963430984e-10,1.5747095624440573e-09,1.3269114728884428e-09,1.621485194376363e-09,1.280135840956137e-09,1.734306574539648e-09,1.167314460792852e-09,2.7272048858981395e-09,1.7441614943436058e-10,1.6558845503815967e-09,1.2457364849509034e-09,1.8804400573436133e-09,1.0211809779888867e-09,1.988923327498195e-09,9.12697707834305e-10,1.385877266123629e-09,1.515743769208871e-09
-0.5825440759729782,-0.8658187141973471,0.9283564056315199,0.0107425482652282,-1.0515360979944548,0.9850246019691735,-0.21184520460768613,-3.2051737003853205e-09,2.3773509527811398e-09,-2.280420390331024e-10,5.997807085710786e-10,-1.56157323876009e-10,6.71665423728172e-10,1.2174291963858146e-09,2.0452519439899955e-09,-1.5756012548790616e-09,7.477785072748806e-10,-2.3492181737007736e-09,1.5213954260965926e-09,-7.298829206752056e-10,9.793982692897539e-11,-1.7424704389693803e-09,9.146476913651993e-10,-1.9014574998530578e-09,1.0736347522488768e-09,-2.155546104200835e-09,1.3277233565966542e-09,-2.3727347868677946e-09,1.5449120392636136e-09,-1.383301787285435e-09,5.554790396812541e-10,-1.3288140113131657e-09,5.009912637089848e-10,-1.3226772357102758e-09,4.948544881060949e-10,-1.5219074050541517e-09,6.940846574499707e-10,-1.7775241603859896e-09,9.497014127818086e-10,-9.13516752238201e-10,8.569400463402003e-11,-1.127851130557977e-09,3.0002838295379607e-10,-1.0556743746745612e-09,2.2785162707038023e-10,-3.202251540658104e-10,5.075975935383705e-10,-1.3788673094879965e-09,5.510445618838156e-10,-1.6650350777563742e-09,8.372123301521933e-10,-7.334478995859718e-10,9.43748480182091e-11,-1.489912170210281e-09,6.620894226061e-10
-0.5015083926179995,0.9122906066093404,-1.0832210649540324,0.6669054731720317,-0.3552302107514495,0.07112825594675284,-0.3659674352849981,-1.233777466959932e-09,3.039946148766809e-11,-2.280420390331024e-10,1.0361348894144977e-09,-1.56157323876009e-10,1.108019604571591e-09,1.0544523079522844e-09,2.3186292363998844e-09,-3.25348783064148e-10,9.38828145383452e-10,-6.721149332954142e-10,5.920619951521858e-10,3.085860293529664e-10,1.5727629578005665e-09,-1.4976976883464278e-10,1.1144071596129573e-09,-1.415526235486261e-10,1.122624304898974e-09,-1.3206195991780679e-10,1.1321149685297933e-09,-1.2168513707581221e-10,1.1424917913717878e-09,5.084551744813892e-10,1.7726321029289892e-09,4.749303434291349e-10,1.739107271876735e-09,5.160567225853963e-10,1.7802336510329963e-09,4.717910114367766e-10,1.7359679398843766e-09,2.6274992461850893e-10,1.526926853066109e-09,1.5487174580825335e-10,1.4190486742558534e-09,8.842982878194459e-11,1.3526067572295446e-09,1.9082435447794355e-10,1.4550012829255436e-09,-5.654477100920052e-10,6.987292183555948e-10,4.5874082691972187e-11,1.3100510111395722e-09,5.108267760559186e-11,1.3152596060531919e-09,-4.271987637160638e-10,8.369781647315362e-10,-5.819927573845569e-10,6.821841710630431e-10
3.540730064055594,0.5823640387910043,0.08824671926005069,-1.141313824760124,0.6783978773556752,-0.8857867401671776,-0.14734670154659898,1.6926526508798356e-09,2.3378658466681374e-09,-2.280420390331024e-10,4.1717115675519965e-10,-1.56157323876009e-10,4.890558719122931e-10,-5.519241177431873e-10,9.328907804511479e-11,9.837551918179763e-10,1.6289683876062784e-09,1.4011316364497892e-09,2.046344832238091e-09,-3.5384111434070454e-09,2.893197947618743e-09,-2.286709394416216e-09,1.6414961986279142e-09,-2.502831511634374e-09,1.857618315846072e-09,-1.122118957096199e-09,4.769057613078969e-10,-1.1541198223627061e-09,5.089066265744041e-10,-2.7237441708839344e-09,2.0785309750956326e-09,-2.6822905564439186e-09,2.0370773606556167e-09,-5.193483575796669e-11,5.932783600303354e-10,-3.079726541658733e-09,2.434513345870431e-09,-2.749391918981415e-09,2.104178723193113e-09,-4.0703857924527757e-10,2.3817461654302447e-10,-2.906548176367118e-10,3.5455837815159025e-10,-2.779496651735676e-10,3.6726353061473446e-10,-2.793642063475479e-10,3.6584898944075413e-10,-1.08679679488619e-09,4.4158359909788794e-10,-7.509778993828492e-10,1.0576470359454717e-10,-1.0797632433112164e-09,4.345500475229143e-10,-3.6698648315714277e-10,2.7822671263115927e-10
1.706571191522511,-0.4836698901832845,1.6508607210639386,0.6411628196719807,3.1476516391689984,0.3526850004024642,-0.9642058146070596,8.683657113996498e-09,1.1641579434078899e-08,-2.280420390331024e-10,2.7298802810492977e-09,-1.56157323876009e-10,2.801764996206391e-09,-1.4983787277913751e-09,1.459543592291025e-09,-7.105314323262964e-10,2.247390887756104e-09,2.683050437341293e-09,5.640972757423693e-09,-2.7956667466502816e-09,1.622555734321185e-10,9.055742817650945e-10,3.8634966018474946e-09,1.02458309526929e-09,3.98250541535169e-09,4.683627073743119e-10,3.426285027456712e-09,5.041515024418525e-10,3.4620738225242524e-09,-6.235789034324944e-10,2.3343434166499057e-09,-6.143492870522044e-10,2.343573033030196e-09,-4.81292116439657e-09,1.8549988443141701e-09,-2.1004528312594033e-09,8.574694888229968e-10,-7.14192165884581e-10,2.2437301541978193e-09,2.886273394083408e-10,3.2465496594907407e-09,5.180549030170695e-10,3.4759772230994696e-09,-8.698544942104916e-10,2.0880678258719087e-09,2.3717227447283833e-10,3.1950945945552385e-09,-2.5027527852164067e-09,4.551695348659933e-10,-2.640217528949673e-09,3.1770479113272695e-10,-1.6872913356571904e-09,1.2706309844252097e-09,-3.1648623433740675e-09,2.0694002329166743e-10
