gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals
2.917292212132508,0.0536489688886692,0.23183548029987866,-0.20223351370353895,-0.2955423253097415,0.10784970872758336,-0.8713419558653003,2.3419364689404426e-06,2.34135750500906e-06,2.2061390112768515e-06,2.205560047345469e-06,2.1855095508625245e-06,2.184930586931142e-06,1.7319909251085567e-06,1.731411961177174e-06,-1.8819481913312574e-07,1.8877378306450842e-07,5.446113091844189e-07,5.440323452530362e-07,4.677793109967379e-07,4.672003470653552e-07,1.2965731032570643e-06,1.2959941393256816e-06,-3.1915364729393435e-07,3.19732611225317e-07,2.3101666874216508e-08,2.252270294283383e-08,4.4165948469219885e-07,4.4108052076081617e-07,-3.0676303782652864e-07,3.073420017579113e-07,-2.9139367904668075e-07,2.9197264297806343e-07,-2.858996609346756e-07,2.8647862486605825e-07,-3.1908945758250733e-07,3.1966842151389e-07,-7.8912069029394e-08,7.949103296077668e-08,-1.3697078274039427e-07,1.3754974667177695e-07
-0.26918000793969366,-0.5104879848180407,-0.21093903290739802,-1.367823018359838,3.551153768846248,0.1839839342919986,-0.8667771650831199,9.139805235721413e-07,9.018470601633749e-07,2.2061390112768515e-06,2.194005547868085e-06,2.1855095508625245e-06,2.173376087453758e-06,2.865608435755663e-06,2.8534749723468966e-06,2.988010066314179e-06,2.9758766029054124e-06,2.747833688704671e-06,2.7357002252959044e-06,1.7589409526122694e-06,1.746807489203503e-06,1.306170429275811e-06,1.2940369658670445e-06,6.568946091577597e-08,5.355599750700951e-08,3.901091771400419e-07,3.7797571373127543e-07,1.3341507446484697e-06,1.3220172812397032e-06,6.059157527028226e-07,5.937822892940561e-07,4.3112853029088036e-07,4.189950668821139e-07,4.11707764605424e-08,2.9037313051775942e-08,2.763556618268596e-08,1.55021027739195e-08,7.296536955245144e-08,6.083190614368498e-08,5.65699909563297e-07,5.535664461545305e-07
-0.5567288955587838,1.450272924618088,0.2190893046434231,1.4443840468756457,0.445240565815737,-0.1536368091690367,-0.43598589347991534,5.87710194236633e-06,4.7745400759666505e-06,2.2061390112768515e-06,1.1035771448771717e-06,2.1855095508625245e-06,1.0829476844628446e-06,3.453432913954948e-06,2.350871047555268e-06,4.0917861643962595e-06,2.9892242979965796e-06,3.6585212353210025e-06,2.5559593689213226e-06,3.326121262511976e-06,2.223559396112296e-06,3.5464724096287386e-06,2.4439105432290587e-06,3.4250931594149503e-06,2.3225312930152704e-06,3.4771406003419913e-06,2.3745787339423114e-06,4.801687615745991e-06,3.699125749346311e-06,4.0466227317098e-06,2.94406086531012e-06,4.3032926920106744e-06,3.2007308256109945e-06,4.469266030544303e-06,3.366704164144623e-06,4.692119960014716e-06,3.5895580936150364e-06,4.567848235433667e-06,3.465286369033987e-06,4.430632944392334e-06,3.3280710779926544e-06
-0.40132964545664573,-0.7685434516399499,1.2344149152216948,-0.5768866779976944,0.9513713323700332,0.656825822892271,-0.8582760737078289,2.6078481344903967e-07,2.2713319936479566e-07,2.2061390112768515e-06,2.1724873971926075e-06,2.1855095508625245e-06,2.1518579367782805e-06,3.154862754634169e-06,3.121211140549925e-06,3.4560808398361116e-06,3.4224292257518676e-06,3.108583033725021e-06,3.074931419640777e-06,2.3846156945500157e-06,2.3509640804657717e-06,2.178382586598538e-06,2.144730972514294e-06,9.341810554826354e-07,9.005294413983914e-07,1.2030925882131152e-06,1.1694409741288711e-06,1.6747366784895398e-06,1.6410850644052958e-06,1.380061140801043e-06,1.346409526716799e-06,1.0981392517683731e-06,1.0644876376841291e-06,6.699030096781637e-07,6.362513955939197e-07,7.541825678162737e-07,7.205309537320297e-07,1.0419373914075774e-06,1.0082857773233334e-06,8.339227630112334e-07,8.002711489269894e-07
-0.41973473433554476,-0.3119857364799539,-1.137133570703603,0.25108091997621307,-0.4992500870910152,0.19801555750298666,-0.7139716143740791,1.4164338087556372e-06,1.017515552777348e-06,2.2061390112768515e-06,1.8072207552985624e-06,2.1855095508625245e-06,1.7865912948842354e-06,3.1926621191014808e-06,2.7937438631231916e-06,3.5263178754181727e-06,3.1273996194398836e-06,3.1656578222149928e-06,2.7667395662367036e-06,2.4836892768673568e-06,2.0847710208890676e-06,2.3196377524117507e-06,1.9207194964334616e-06,1.125443891666199e-06,7.265256356879098e-07,1.3800802757295065e-06,9.811620197512174e-07,2.1738344962488088e-06,1.7749162402705196e-06,1.700505211288635e-06,1.3015869553103458e-06,1.5924419765697444e-06,1.1935237205914553e-06,1.2421571900734118e-06,8.432389340951227e-07,1.0374034752597831e-06,6.38485219281494e-07,1.1701730746650051e-06,7.71254818686716e-07,1.1412297356033284e-06,7.423114796250393e-07
-0.5205703993656191,0.47633266747275016,1.452695924718461,-0.38195564680843525,0.1951067124662578,-0.6112085391818017,0.5605891190904664,3.4118428036302184e-06,2.1327179549685174e-07,2.2061390112768515e-06,1.4189755878502186e-06,2.1855095508625245e-06,1.4396050482645456e-06,3.388177169963956e-06,2.3693742916311392e-07,3.9349317129383305e-06,3.098171138112603e-07,3.5154003026464927e-06,1.0971429648057744e-07,3.08476012667162e-06,5.4035447245545e-07,3.1908022436289497e-06,4.3431235549812043e-07,2.636985671298967e-06,9.88128927828103e-07,2.7635630600385814e-06,8.615515390884887e-07,3.5331662222873394e-06,9.194837683973074e-08,3.1482100238776843e-06,4.769045752493858e-07,3.2547321939689122e-06,3.703824051581579e-07,3.1999737257860675e-06,4.2514087334100265e-07,2.9341368922875185e-06,6.909777068395516e-07,3.7675680335853655e-06,1.424534344582954e-07,2.651926984209282e-06,9.731876149177882e-07
-0.5825440759729782,-0.8658187141973471,0.9283564056315199,0.0107425482652282,-1.0515360979944548,0.9850246019691735,0.549652788097351,1.4559515507800097e-08,3.58287280051492e-06,2.2061390112768515e-06,1.3912933047458684e-06,2.1855095508625245e-06,1.4119227651601954e-06,3.498446492110647e-06,9.898582391207296e-08,4.207292941492778e-06,6.098606254700585e-07,3.7674066397701602e-06,1.6997432374744029e-07,3.5074313288275904e-06,9.000098719512957e-08,3.815532052811787e-06,2.1809973678906706e-07,4.089875872500068e-06,4.924435564773481e-07,4.0759927462264095e-06,4.785604302036896e-07,2.558574385772353e-06,1.0388579302503668e-06,3.718008507810572e-06,1.205761917878519e-07,3.3833385572080235e-06,2.140937588146964e-07,3.4904328673932304e-06,1.0699944862948958e-07,3.3856472765098137e-06,2.1178503951290627e-07,3.558584284828257e-06,3.8848031194462894e-08,2.7748079681136246e-06,8.226243479090954e-07
-0.5015083926179995,0.9122906066093404,-1.0832210649540324,0.6669054731720317,-0.3552302107514495,0.07112825594675284,-0.4353016090013593,4.515349189854747e-06,3.411055247435127e-06,2.2061390112768515e-06,1.1018450688572316e-06,2.1855095508625245e-06,1.0812156084429046e-06,3.352738817710176e-06,2.248444875290556e-06,3.854496346660194e-06,2.7502024042405736e-06,3.444012764714908e-06,2.339718822295288e-06,2.9632166838255064e-06,1.8589227414058865e-06,3.0128680046220123e-06,1.9085740622023926e-06,2.2806460306129077e-06,1.1763520881932878e-06,2.43940585035116e-06,1.3351119079315402e-06,3.830282249610086e-06,2.7259883071904662e-06,3.032827531413024e-06,1.928533588993404e-06,3.22349645337508e-06,2.11920251095546e-06,3.1355227810366768e-06,2.0312288386170567e-06,2.8042166547967876e-06,1.6999227123771677e-06,3.1171595116074477e-06,2.0128655691878276e-06,2.622180640775263e-06,1.5178866983556432e-06
3.540730064055594,0.5823640387910043,0.08824671926005069,-1.141313824760124,0.6783978773556752,-0.8857867401671776,-0.8697541212352579,3.68023175789853e-06,3.6756336318021217e-06,2.2061390112768515e-06,2.2015408851804434e-06,2.1855095508625245e-06,2.1809114247661164e-06,1.916575841170779e-06,1.911977715074371e-06,-2.516975454157974e-07,2.5629567151220554e-07,4.376205217303049e-07,4.3302239563389675e-07,6.072839714514559e-07,6.026858453550478e-07,1.6270196324554643e-06,1.6224215063590562e-06,-3.2356818171567873e-07,3.2816630781208686e-07,1.6614907937959764e-08,1.2016781841551632e-08,5.894709306634462e-07,5.848728045670381e-07,-1.2622794739598325e-07,1.3082607349239138e-07,1.7543205566945584e-08,1.2945079470537453e-08,6.925054881528074e-08,6.465242271887261e-08,-3.233803513206953e-07,3.279784774171034e-07,2.925771236675726e-07,2.8797899757116446e-07,-1.386155041694995e-07,1.4321363026590763e-07
1.706571191522511,-0.4836698901832845,1.6508607210639386,0.6411628196719807,3.1476516391689984,0.3526850004024642,-0.8695177191992309,9.818630783764826e-07,9.766665662133157e-07,2.2061390112768515e-06,2.2009424991136846e-06,2.1855095508625245e-06,2.1803130386993576e-06,1.0704086239584404e-06,1.0652121117952735e-06,1.3430081480540161e-07,1.2910430264223467e-07,8.702442614696365e-07,8.650477493064695e-07,8.315110265948352e-08,7.795459049631658e-08,2.660952230923482e-07,2.6089871092918127e-07,-2.6414717211068196e-07,2.693436842738489e-07,9.188943187877446e-08,8.669291971560752e-08,3.1596239246245455e-09,2.0368882385423957e-09,-4.90038837016159e-07,4.952353491793259e-07,-6.498740156042947e-07,6.550705277674616e-07,-7.073453530191163e-07,7.125418651822833e-07,-2.697843469112691e-07,2.74980859074436e-07,7.015148902120958e-08,6.495497685804264e-08,-1.0827848885618618e-07,1.1347500101935312e-07
