gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals
2.917292212132508,0.0536489688886692,0.23183548029987866,-0.20223351370353895,-0.2955423253097415,0.10784970872758336,-0.8713419558653003,2.3419364689404426e-06,2.34135750500906e-06,2.2061390112768515e-06,2.205560047345469e-06,2.1608807594721685e-06,2.160301795540786e-06,1.7319909251085567e-06,1.731411961177174e-06,-1.8819481913312531e-07,1.88773783064508e-07,5.434889819723836e-07,5.429100180410009e-07,4.609450112275745e-07,4.603660472961918e-07,4.4057446261156495e-07,4.399954986801823e-07,1.0383951290493948e-06,1.0378161651180121e-06,-1.9932178955316725e-07,1.9990075348454992e-07,1.7734967839830282e-07,1.7677071446692015e-07,2.774912167219484e-07,2.7691225279056573e-07,1.6070679055550397e-07,1.601278266241213e-07,-1.5417156335896877e-07,1.5475052729035144e-07,-1.5087513533714137e-07,1.5145409926852404e-07,-2.0114605017904036e-07,2.0172501411042304e-07,-3.25083125382159e-07,3.2566208931354166e-07,2.026766900577161e-07,2.0209772612633343e-07
-0.26918000793969366,-0.5104879848180407,-0.21093903290739802,-1.367823018359838,3.551153768846248,0.1839839342919986,-0.8667771650831199,9.139805235721413e-07,9.018470601633749e-07,2.2061390112768515e-06,2.194005547868085e-06,2.1608807594721685e-06,2.148747296063402e-06,2.865608435755663e-06,2.8534749723468966e-06,2.988010066314179e-06,2.9758766029054124e-06,2.7491287621355744e-06,2.736995298726808e-06,1.7521066528431062e-06,1.7399731894343398e-06,8.067950241134507e-07,7.946615607046843e-07,1.7471628701539577e-06,1.7350294067451913e-06,7.540827849744431e-07,7.419493215656767e-07,1.7840910591434235e-06,1.771957595734657e-06,1.2837480875617325e-06,1.271614624152966e-06,1.8006856926706652e-06,1.7885522292618987e-06,3.443017247932897e-07,3.3216826138452324e-07,3.516017263905949e-07,3.3946826298182845e-07,5.405706947515653e-07,5.284372313427988e-07,6.358918620310713e-08,5.1455722794340674e-08,4.212848464705143e-07,4.091513830617478e-07
-0.5567288955587838,1.450272924618088,0.2190893046434231,1.4443840468756457,0.445240565815737,-0.1536368091690367,-0.43598589347991534,5.87710194236633e-06,4.7745400759666505e-06,2.2061390112768515e-06,1.1035771448771717e-06,2.1608807594721685e-06,1.0583188930724886e-06,3.453432913954948e-06,2.350871047555268e-06,4.09178616439626e-06,2.9892242979965805e-06,3.663025811806464e-06,2.560463945406784e-06,3.319286962742813e-06,2.216725096343133e-06,3.502911300819295e-06,2.400349434419615e-06,4.475011703286264e-06,3.3724498368865843e-06,3.0912852840053693e-06,1.9887234176056894e-06,5.070953592076346e-06,3.968391725676666e-06,5.037218745964541e-06,3.9346568795648615e-06,5.280014266347723e-06,4.177452399948043e-06,4.085750480110713e-06,2.983188613711033e-06,4.164818062194921e-06,3.062256195795241e-06,4.798089467830087e-06,3.695527601430407e-06,4.8592120929280595e-06,3.7566502265283796e-06,4.759422742546318e-06,3.656860876146638e-06
-0.40132964545664573,-0.7685434516399499,1.2344149152216948,-0.5768866779976944,0.9513713323700332,0.656825822892271,-0.8582760737078289,2.6078481344903967e-07,2.2713319936479566e-07,2.2061390112768515e-06,2.1724873971926075e-06,2.1608807594721685e-06,2.1272291453879245e-06,3.154862754634169e-06,3.121211140549925e-06,3.4560808398361116e-06,3.4224292257518676e-06,3.1109945448657474e-06,3.0773429307815033e-06,2.3777813947808525e-06,2.3441297806966085e-06,1.8014250735225956e-06,1.7677734594383516e-06,1.9751493473491062e-06,1.9414977332648622e-06,1.2489684719816376e-06,1.2153168578973936e-06,1.7629113076795454e-06,1.7292596935953014e-06,1.1630633186542007e-06,1.1294117045699567e-06,1.6034191884196467e-06,1.5697675743354027e-06,6.020883635320753e-07,5.684367494478313e-07,6.106349621613823e-07,5.769833480771383e-07,7.963316208179692e-07,7.626800067337252e-07,1.0269397791212452e-06,9.932881650370012e-07,1.144401133138897e-06,1.110749519054653e-06
-0.41973473433554476,-0.3119857364799539,-1.137133570703603,0.25108091997621307,-0.4992500870910152,0.19801555750298666,-0.7139716143740791,1.4164338087556372e-06,1.017515552777348e-06,2.2061390112768515e-06,1.8072207552985624e-06,2.1608807594721685e-06,1.7619625034938794e-06,3.1926621191014808e-06,2.7937438631231916e-06,3.5263178754181727e-06,3.1273996194398836e-06,3.1682645839436453e-06,2.769346327965356e-06,2.4768549770981936e-06,2.0779367211199044e-06,1.970012876694944e-06,1.5710946207166547e-06,2.7151110528272686e-06,2.3161927968489795e-06,1.356360205603654e-06,9.574419496253648e-07,2.6384433713507414e-06,2.2395251153724523e-06,2.2692223156313965e-06,1.8703040596531074e-06,2.539511384305264e-06,2.140593128326975e-06,1.138050702296677e-06,7.391324463183878e-07,1.161162029495363e-06,7.62243773517074e-07,1.15913731002665e-06,7.602190540483609e-07,5.645653543181201e-07,1.65647098339831e-07,7.978102429917205e-07,3.9889198701343135e-07
-0.5205703993656191,0.47633266747275016,1.452695924718461,-0.38195564680843525,0.1951067124662578,-0.6112085391818017,0.5605891190904664,3.4118428036302184e-06,2.1327179549685174e-07,2.2061390112768515e-06,1.4189755878502186e-06,2.1608807594721685e-06,1.4642338396549017e-06,3.388177169963956e-06,2.3693742916311392e-07,3.93493171293833e-06,3.098171138112595e-07,3.519314661831856e-06,1.0579993729521427e-07,3.077925826902457e-06,5.471887722246132e-07,3.046991004744182e-06,5.78123594382888e-07,3.920254522249307e-06,2.951399231222366e-07,2.3600295202797705e-06,1.2650850788472996e-06,4.184997247510679e-06,5.59882648383609e-07,4.065611288812292e-06,4.404966896852217e-07,5.4142169728095e-06,1.7891023736824299e-06,2.769795273940139e-06,8.553193251869311e-07,2.825769190347754e-06,7.993454087793161e-07,2.8266023232903885e-06,7.985122758366816e-07,3.862216216291886e-06,2.3710161716481616e-07,3.7141299445310286e-06,8.901534540395847e-08
-0.5825440759729782,-0.8658187141973471,0.9283564056315199,0.0107425482652282,-1.0515360979944548,0.9850246019691735,0.549652788097351,1.4559515507800097e-08,3.58287280051492e-06,2.2061390112768515e-06,1.3912933047458684e-06,2.1608807594721685e-06,1.4365515565505515e-06,3.498446492110647e-06,9.898582391207296e-08,4.207292941492778e-06,6.098606254700585e-07,3.772381703143754e-06,1.7494938712103414e-07,3.5005970290584268e-06,9.683528696429318e-08,3.8533219688493895e-06,2.5588965282666954e-07,2.9193334750620466e-06,6.780988409606734e-07,3.9158695008569136e-06,3.184371848341936e-07,2.355746080990976e-06,1.2416862350317439e-06,2.118556768287176e-06,1.4788755477355438e-06,2.4172729157475187e-06,1.1801594002752013e-06,3.221095865976751e-06,3.763364500459689e-07,3.2738074280001933e-06,3.2362488802252666e-07,2.6746707771698087e-06,9.227615388529113e-07,4.159978941869833e-06,5.625466258471132e-07,4.180561672823319e-06,5.831293568005988e-07
-0.5015083926179995,0.9122906066093404,-1.0832210649540324,0.6669054731720317,-0.3552302107514495,0.07112825594675284,-0.4353016090013593,4.515349189854747e-06,3.411055247435127e-06,2.2061390112768515e-06,1.1018450688572316e-06,2.1608807594721685e-06,1.0565868170525486e-06,3.352738817710176e-06,2.248444875290556e-06,3.854496346660194e-06,2.7502024042405736e-06,3.4476446979586656e-06,2.3433507555390455e-06,2.956382384056343e-06,1.8520884416367233e-06,2.82221988185774e-06,1.7179259394381202e-06,3.976633174625769e-06,2.8723392322061488e-06,2.08776398628164e-06,9.8347004386202e-07,4.274068616667427e-06,3.169774674247807e-06,4.188692674325497e-06,3.0843987319058766e-06,3.7635543138620653e-06,2.6592603714424456e-06,2.7691545494463333e-06,1.6648606070267134e-06,2.8257593142025524e-06,1.7214653717829325e-06,2.8341739452149928e-06,1.7298800027953729e-06,2.04879235690731e-06,9.4449841448769e-07,2.074397339652182e-06,9.701033972325622e-07
3.540730064055594,0.5823640387910043,0.08824671926005069,-1.141313824760124,0.6783978773556752,-0.8857867401671776,-0.8697541212352579,3.68023175789853e-06,3.6756336318021217e-06,2.2061390112768515e-06,2.2015408851804434e-06,2.1608807594721685e-06,2.1562826333757603e-06,1.916575841170779e-06,1.911977715074371e-06,-2.516975454157974e-07,2.5629567151220554e-07,4.3657297222588143e-07,4.319748461294733e-07,6.004496716822925e-07,5.958515455858844e-07,3.3509643824180776e-07,3.3049831214539963e-07,1.493434488147843e-06,1.4888363620514348e-06,-2.178560952338325e-07,2.2245422133024062e-07,1.5928487296341323e-07,1.546867468670051e-07,2.1859202252378398e-07,2.1399389642737584e-07,1.5374597508547062e-07,1.491478489890625e-07,2.0473451233773042e-07,2.001363862413223e-07,2.1630563627725343e-07,2.117075101808453e-07,-2.0098958217941383e-07,2.0558770827582196e-07,-3.250831254495303e-07,3.296812515459384e-07,2.0267669005723372e-07,1.980785639608256e-07
1.706571191522511,-0.4836698901832845,1.6508607210639386,0.6411628196719807,3.1476516391689984,0.3526850004024642,-0.8695177191992309,9.818630783764826e-07,9.766665662133157e-07,2.2061390112768515e-06,2.2009424991136846e-06,2.1608807594721685e-06,2.1556842473090015e-06,1.0704086239584404e-06,1.0652121117952735e-06,1.3430081480540204e-07,1.291043026422351e-07,8.6900371173034e-07,8.638071995671731e-07,7.631680289031991e-08,7.112029072715297e-08,2.2884847955798002e-07,2.2365196739481308e-07,1.0711731816036254e-07,1.019208059971956e-07,-1.3577530834280508e-07,1.4097182050597202e-07,2.541066330187974e-07,2.4891012085563047e-07,3.597673961391438e-07,3.545708839759769e-07,9.330285013690422e-08,8.810633797373728e-08,-5.424438951586761e-07,5.476404073218431e-07,-5.502890126244861e-07,5.55485524787653e-07,-1.7364821234861832e-07,1.7884472451178526e-07,-3.250826637075139e-07,3.302791758706808e-07,2.0267670778053417e-07,1.9748019561736723e-07
-0.6036766556600057,0.6746221117142455,0.036674776416668324,0.9437423617180304,0.9428034410251918,-0.8319624822624181,2.386222161502254,3.913757434373636e-06,4.3324399352468745e-06,2.2061390112768515e-06,6.040058358343658e-06,2.1608807594721685e-06,6.085316610148342e-06,3.5343215184295233e-06,4.711875851190987e-06,4.304092954459435e-06,3.942104415161075e-06,3.866468202782809e-06,4.379729166837701e-06,3.6548137355602366e-06,4.5913836340602735e-06,4.156432237682638e-06,4.089765131937872e-06,4.5877097270223426e-06,3.6584876425981675e-06,4.960133972412625e-06,3.2860633972078855e-06,5.298177022043883e-06,2.9480203475766268e-06,5.2694341811543575e-06,2.9767631884661526e-06,5.338574318568003e-06,2.9076230510525073e-06,5.5440562742199994e-06,2.7021410954005107e-06,5.6487540947008754e-06,2.5974432749196346e-06,6.532605138564498e-06,1.713592231056012e-06,5.70979918545818e-06,2.53639818416233e-06,5.785645751310485e-06,2.4605516183100253e-06
-0.38607572519891725,2.141824326345336,1.2363007329851563,-1.0725979018772342,-0.771142331802448,-0.026045152682687582,1.5606562121193723,7.627572159103101e-06,1.4710655958887908e-06,2.2061390112768515e-06,3.950367551937458e-06,2.1608807594721685e-06,3.9956258037421415e-06,3.123054202739097e-06,3.033452360475213e-06,3.3988409425300114e-06,2.7576656206842985e-06,3.0649337867440994e-06,3.0915727764702105e-06,2.298004886310211e-06,3.858501676904099e-06,1.6677010715234654e-06,4.488805491690844e-06,3.5486408409483094e-06,2.6078657222660005e-06,1.1698368416448129e-06,4.986669721569497e-06,3.684293112628437e-06,2.472213450585873e-06,3.650991048129671e-06,2.505515515084639e-06,4.199353469662228e-06,1.957153093552082e-06,2.4378034504181296e-06,3.7187031127961804e-06,2.486173157784381e-06,3.670333405429929e-06,2.1326789643328114e-06,4.023827598881499e-06,1.6675249703463012e-06,4.488981592868009e-06,1.6078896922064357e-06,4.548616871007874e-06
2.098662378394853,-0.9393055340529352,0.5937027470957134,-1.6472055595596529,-0.45382632648949334,-0.14450310093094232,-0.8629931125434467,-1.7145194966835224e-07,1.9316369063207833e-07,2.2061390112768515e-06,2.1844272703131255e-06,2.1608807594721685e-06,2.1391690185084424e-06,1.3290482268440973e-06,1.3073364858803712e-06,-1.4703810941490775e-08,3.641555190521687e-08,7.397642529248285e-07,7.180525119611024e-07,2.089068107871373e-07,1.871950698234112e-07,3.905651021596375e-07,3.688533611959114e-07,-5.193075990988259e-07,5.41019340062552e-07,-1.6239711748458834e-07,1.8410885844831443e-07,1.3318207677753436e-09,2.037992019595075e-08,2.250040254719397e-07,2.0329228450821362e-07,-5.680409034259205e-08,7.851583130631815e-08,-1.018381023694375e-06,1.040092764658101e-06,-1.0406442614248787e-06,1.0623560023886048e-06,-2.2229318379793756e-07,2.4400492476166366e-07,-3.250831054239617e-07,3.467948463876878e-07,2.026766904910535e-07,1.809649495273274e-07
0.24615861750082593,0.9221558985284568,-0.10267191751579599,1.5349337310510598,-0.3489625007499167,-0.3609775785439962,-0.8615632720441027,4.5403204351456914e-06,4.514989450258037e-06,2.2061390112768515e-06,2.180808026389197e-06,2.1608807594721685e-06,2.1355497745845138e-06,1.6029289190298837e-06,1.577597934142229e-06,1.6538218056299957e-06,1.628490820742341e-06,1.8541467459486987e-06,1.828815761061044e-06,3.7316369917865366e-07,3.4783271429099897e-07,-6.922977334875418e-07,7.176287183751965e-07,1.3966108366187286e-06,1.371279851731074e-06,1.5970373849479571e-07,1.3437275360714103e-07,1.516560977641761e-06,1.4912299927541064e-06,1.44172727746337e-06,1.4163962925757154e-06,1.5244648264910026e-06,1.499133841603348e-06,8.037452572641673e-07,7.784142723765126e-07,8.261346584719508e-07,8.008036735842961e-07,2.9073114361872414e-07,2.6540015873106945e-07,-3.106925810968518e-07,3.360235659845065e-07,2.068026948648377e-07,1.81471709977183e-07
