gamma1,lambda1,delta,epsilon,NRow,NCol,FValue
1.04430777761713,0.05,1.13620938048944,1.93257625039277,5.98978030021426e-07,1.09888051689812e-06,-1.96065740650644e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,9.71994821277159e-07,1.33503312945006e-06,-1.34656523621641e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.19926945228373e-05,1.18594914276312e-06,4.2441759409212794e-11
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.3869024712445e-06,1.00692180876074e-06,8.988448496978059e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.04046015790476e-06,1.65440484989874e-06,-2.43071529090796e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,5.27261693251833e-07,1.98883421521962e-06,-5.65562436461195e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,7.48877043483563e-07,2.05212711327386e-06,-5.0585056136705594e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.08176175151451e-06,6.82306870042587e-07,1.5592591034866198e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.18375044900201e-05,1.50471475832713e-06,4.04366872479593e-11
1.04430777761713,0.05,1.13620938048944,1.93257625039277,3.27932055632621e-07,2.11416520924229e-07,2.3932252087798e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,5.5874693322773e-07,3.27932055632621e-07,9.410792033631629e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,4.44202900256517e-07,4.8845564986182e-07,-1.6414238225141e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,3.50124123047477e-07,7.39153703736774e-07,-1.51842608028704e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.34193279745649e-06,1.16845257853144e-05,-4.2841718851096796e-11
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.57501997359734e-06,6.02104826348481e-07,3.79733416145193e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,5.32933081161634e-07,8.26744780314142e-07,-1.14714966194058e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.78680796785967e-06,3.92764366492766e-07,5.6221412149578295e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.82839493631769e-06,6.19975208734878e-07,4.71756440449119e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.14606382204938e-05,1.04074065048814e-06,4.0760101422630495e-11
1.04430777761713,0.05,1.13620938048944,1.93257625039277,8.87897705163914e-07,6.45882839326573e-07,9.44765295725953e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,9.14929426878735e-07,5.66534575676179e-07,1.0735729366223999e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.13874092967681e-05,2.38996736119058e-06,3.55851700745961e-11
1.04430777761713,0.05,1.13620938048944,1.93257625039277,5.66534575676179e-07,6.96718019188851e-07,-5.08040437981818e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.10273372615155e-06,9.43012270612217e-07,6.238028766882699e-13
1.04430777761713,0.05,1.13620938048944,1.93257625039277,4.78393572313639e-07,2.08485279250738e-06,-6.19917698040324e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,2.08485279250738e-06,7.34717517711517e-07,5.270328750428929e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.28813314920606e-06,6.36694163309901e-07,2.54270263728487e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,6.35744782704897e-07,2.12510948162532e-06,-5.75801075094068e-12
1.04430777761713,0.05,1.13620938048944,1.93257625039277,1.11704345929167e-05,7.45532214951136e-07,4.07190566941524e-11
1.04430777761713,0.05,1.13620938048944,1.93257625039277,5.20643125445602e-07,9.19926351849774e-07,-1.5614828683406599e-12
