complexity,loss,equation,score,sympy_format,lambda_format
28,0.284,((x0 - -1.478) ^ (-5.26 - (x1 + x2))) - (exp(x3 - x1) ^ 0.1703),0.07362999073558299,(x0 - 1*(-1.478))**(-(x1 + x2) - 5.26) - exp(-x1 + x3)**0.1703,PySRFunction(X=>(x0 - 1*(-1.478))**(-(x1 + x2) - 5.26) - exp(-x1 + x3)**0.1703)
29,0.2815,(((x0 - -1.525) ^ -7.363) * (1.274 ^ (x2 + x1))) - 0.869,0.008841790581461012,1.274**(x1 + x2)/(x0 - 1*(-1.525))**7.363 - 1*0.869,PySRFunction(X=>1.274**(x1 + x2)/(x0 - 1*(-1.525))**7.363 - 1*0.869)
30,0.2766,((x0 - -1.493) ^ ((-6.094 - x1) - (x1 + x2))) - exp((x3 - x1) * 0.1431),0.017560028349087087,(x0 - 1*(-1.493))**(-x1 - (x1 + x2) - 6.094) - exp((-x1 + x3)*0.1431),PySRFunction(X=>(x0 - 1*(-1.493))**(-x1 - (x1 + x2) - 6.094) - exp((-x1 + x3)*0.1431))
32,0.269,((1.244 ^ (x1 + x2)) * ((x0 - -1.507) ^ -6.242)) - (exp(x3) ^ 0.1669),0.01393051981440938,1.244**(x1 + x2)/(x0 - 1*(-1.507))**6.242 - exp(x3)**0.1669,PySRFunction(X=>1.244**(x1 + x2)/(x0 - 1*(-1.507))**6.242 - exp(x3)**0.1669)
33,0.2666,((1.274 ^ (x1 + x2)) * ((x0 - -1.515) ^ -7.15)) - exp(log(1.175 ^ x3)),0.008961971857230884,-1.175**x3 + 0.051292004914376*1.274**(x1 + x2)/(0.66006600660066*x0 + 1)**7.15,PySRFunction(X=>-1.175**x3 + 0.051292004914376*1.274**(x1 + x2)/(0.66006600660066*x0 + 1)**7.15)
35,0.2654,(((x0 - -1.5) ^ (-6.242 - x2)) * (1.231 ^ (x1 - x4))) - (0.946 ^ (x2 - x3)),0.0022556429232505623,-0.946**(x2 - x3) + 1.231**(x1 - x4)*(x0 - 1*(-1.5))**(-x2 - 6.242),PySRFunction(X=>-0.946**(x2 - x3) + 1.231**(x1 - x4)*(x0 - 1*(-1.5))**(-x2 - 6.242))
36,0.2534,((1.265 ^ (x1 - x4)) * ((x0 - -1.52) ^ (-6.246 - x2))) - (0.906 ^ exp(x2 - x3)),0.046268854011068464,-0.906**exp(x2 - x3) + 1.265**(x1 - x4)*(x0 - 1*(-1.52))**(-x2 - 6.246),PySRFunction(X=>-0.906**exp(x2 - x3) + 1.265**(x1 - x4)*(x0 - 1*(-1.52))**(-x2 - 6.246))
38,0.246,(((x0 + 1.829) ^ (x1 - x3)) * ((x0 - -1.501) ^ (-6.34 - x3))) - (exp(x2 - x4) ^ -0.1438),0.014818865977337987,(x0 + 1.829)**(x1 - x3)*(x0 - 1*(-1.501))**(-x3 - 6.34) - 1/exp(x2 - x4)**0.1438,PySRFunction(X=>(x0 + 1.829)**(x1 - x3)*(x0 - 1*(-1.501))**(-x3 - 6.34) - 1/exp(x2 - x4)**0.1438)
42,0.2386,((1.264 ^ (x1 - x3)) * ((x0 - -1.5) ^ (-6.742 - x3))) - (((x0 + 0.4458) + exp(x2)) ^ -0.211),0.007635756567136755,1.264**(x1 - x3)*(x0 - 1*(-1.5))**(-x3 - 6.742) - 1/(x0 + exp(x2) + 0.4458)**0.211,PySRFunction(X=>1.264**(x1 - x3)*(x0 - 1*(-1.5))**(-x3 - 6.742) - 1/(x0 + exp(x2) + 0.4458)**0.211)
43,0.2305,(((x0 - -1.511) ^ (-6.605 - x2)) * (1.286 ^ (x1 - -0.4082))) - (0.869 ^ ((x2 - x4) + (x0 - x3))),0.03453764722711247,-0.869**(x0 + x2 - x3 - x4) + 1.286**(x1 - 1*(-0.4082))*(x0 - 1*(-1.511))**(-x2 - 6.605),PySRFunction(X=>-0.869**(x0 + x2 - x3 - x4) + 1.286**(x1 - 1*(-0.4082))*(x0 - 1*(-1.511))**(-x2 - 6.605))
46,0.225,(((x0 - -1.498) ^ (-6.34 - x3)) * ((x0 + 1.829) ^ (x1 - x3))) - (exp(x2 - x4) ^ (-0.2042 / (x0 - -1.498))),0.008050153410761032,(x0 + 1.829)**(x1 - x3)*(x0 - 1*(-1.498))**(-x3 - 6.34) - 1/exp(x2 - x4)**(0.2042/(x0 - 1*(-1.498))),PySRFunction(X=>(x0 + 1.829)**(x1 - x3)*(x0 - 1*(-1.498))**(-x3 - 6.34) - 1/exp(x2 - x4)**(0.2042/(x0 - 1*(-1.498))))
48,0.2234,(((x0 - -1.5) ^ (-6.06 - x4)) * (1.273 ^ (x1 - x4))) - ((exp(x2) + (0.0747 ^ x0)) ^ ((x2 - x3) / (-6.06 - x3))),0.0035682577846599334,1.273**(x1 - x4)*(x0 - 1*(-1.5))**(-x4 - 6.06) - (0.0747**x0 + exp(x2))**((x2 - x3)/(-x3 - 6.06)),PySRFunction(X=>1.273**(x1 - x4)*(x0 - 1*(-1.5))**(-x4 - 6.06) - (0.0747**x0 + exp(x2))**((x2 - x3)/(-x3 - 6.06)))
57,0.2214,(((x0 - -1.528) + (x2 * -0.02359)) ^ ((-6.727 - x1) - (x1 + 1.17))) - ((1.08 ^ (x4 - 1.708)) ^ ((x1 - x3) + (x1 + 1.805))),0.0009992073733959695,(x0 + x2*(-0.02359) - 1*(-1.528))**(-x1 - (x1 + 1.17) - 6.727) - (1.08**(x4 - 1*1.708))**(x1 + x1 - x3 + 1.805),PySRFunction(X=>(x0 + x2*(-0.02359) - 1*(-1.528))**(-x1 - (x1 + 1.17) - 6.727) - (1.08**(x4 - 1*1.708))**(x1 + x1 - x3 + 1.805))
