Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_11,2.2082105916772293e-12,0.34465133792831315,1.486004909708319e-06,2.2496444733752976e-12,0.34211803759272663,1.4998814864432782e-06,2.90605497631351e-12,0.39238220070135416,1.7047155118416416e-06
Model_12,2.078051561043398e-12,0.3243364801785686,1.4415448522482393e-06,2.5884186349194602e-12,0.39363762333452007,1.608856312701498e-06,2.7212820899596675e-12,0.3674337422694238,1.649630895067035e-06
Model_13,2.072871922993661e-12,0.3235280567471465,1.4397471732889984e-06,2.4182493050192872e-12,0.36775886876110603,1.5550721221278732e-06,2.606752727052753e-12,0.35196972530187587,1.6145441236004524e-06
Model_14,1.9994921041599947e-12,0.31207513969599193,1.4140339826750964e-06,2.1912234619366783e-12,0.3332335751702822,1.4802781704587412e-06,2.6163176406528544e-12,0.35326120184946935,1.6175035210635105e-06
Model_15,1.9982023543645214e-12,0.31187383915233996,1.4135778557845767e-06,2.1644150063865457e-12,0.3291566393200844,1.471195094603889e-06,2.4453794238150915e-12,0.3301807321909591,1.563770898762057e-06
Model_16,1.8574849217468294e-12,0.28991105552820734,1.3628957853580842e-06,1.7389777469654116e-12,0.26445763375072534,1.3187030548859025e-06,2.270951621996517e-12,0.3066290907736674,1.5069676910924525e-06
Model_17,1.8425526489970572e-12,0.2875804681282028,1.357406589418608e-06,2.1076459632806144e-12,0.3205234024449801,1.4517733856496386e-06,2.3748719093110195e-12,0.32066064604923505,1.5410619420746913e-06
Model_18,1.8095288176239043e-12,0.2824262008182035,1.3451872797584373e-06,2.3144372706984464e-12,0.35197149885413237,1.5213274699085817e-06,2.40017040950584e-12,0.32407650750464356,1.54924833693822e-06
Model_19,1.7601323543256461e-12,0.27471653887344283,1.3266997981177378e-06,1.6800543143999373e-12,0.25549676488628564,1.296169091746882e-06,2.062590623958615e-12,0.2784957114615678,1.4361722125005117e-06
Model_20,1.7465430827377761e-12,0.27259556334154245,1.3215684177286381e-06,1.9606447857320496e-12,0.2981679791850199,1.4002302616827167e-06,2.258375773707512e-12,0.3049310709262983,1.502789331113151e-06
Model_21,1.742350014397408e-12,0.2719411209532216,1.319981065923829e-06,1.8779522132646244e-12,0.28559238292931316,1.370383965633218e-06,2.6257077556735378e-12,0.3545290766924045,1.6204035780241716e-06
Model_22,1.6622854995141384e-12,0.25944487522416676,1.2892965134189025e-06,1.684400185267528e-12,0.2561576696783308,1.297844438007702e-06,2.382339918444773e-12,0.3216689937517542,1.5434830476700329e-06
Model_23,1.6105804696588555e-12,0.2513748986628681,1.2690864705207661e-06,1.7889815975814257e-12,0.27206204389077,1.337528167023568e-06,2.1480855769192786e-12,0.2900394358800644,1.465634871623652e-06
Model_24,1.5664443711071106e-12,0.24448625974675778,1.251576753981597e-06,,,,2.0065502907186982e-12,0.27092901727857943,1.4165275467560445e-06
Model_25,1.5162369129136566e-12,0.23665001998521829,1.2313557215174081e-06,1.8015809812624647e-12,0.27397811395021704,1.3422298541093716e-06,2.021425882579284e-12,0.27293755377171774,1.4217685756054972e-06
Model_26,1.4758589192189485e-12,0.23034793557253005,1.2148493401319146e-06,1.747295597690849e-12,0.2657225833020232,1.321853092325637e-06,2.13400891894155e-12,0.28813877327015464,1.4608247392967954e-06
Model_27,1.4716569004627755e-12,0.2296920962283238,1.2131186670984728e-06,1.4882327379972048e-12,0.22632521264168434,1.2199314480728845e-06,1.922747111594689e-12,0.2596137200393778,1.3866315702430438e-06
Model_28,1.456207535555663e-12,0.22728080252950372,1.2067342439641228e-06,1.917885120189935e-12,0.29166523929143984,1.3848772942719275e-06,2.166922232430149e-12,0.29258280426209854,1.472046953201612e-06
